Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
2188, TW,33,21.2%,1.7,2.1,2.8,2.9,8.1,376,50.7%,21.4,385,0.95,0.45,0.17,0.15,244,7,111,0%,6.1%,0,7,2019 Spring
369, CN,39,64.1%,3.2,2.8,2.3,4.4,8.5,404,55.3%,24.5,436,-,0.43,0.2,0.17,-,-,-,-,-,0,-,2019 Spring
3z, TW,33,51.5%,2.8,2.5,2.5,4.6,8.4,389,51.4%,21.5,377,0.98,0.48,0.18,0.19,-54,3,-33,15.2%,12.1%,0,5,2019 Spring
ACD, EE,25,72%,4.1,2.6,2.3,6.7,7.1,360,46%,19.0,423,1.22,0.62,0.19,0.31,-24,-1,-234,4%,12%,0,11,2019 Spring
ADD, KR,37,54.1%,4.3,2.7,2.1,6.5,7.5,375,64.5%,23.9,474,-,0.58,0.28,0.23,-,-,-,-,-,0,-,2019 Spring
AHaHaCiK, RU,36,66.7%,3.4,2.6,2.5,5.9,5.1,346,65.6%,15.1,266,1.53,0.59,0.32,0.29,261,-3,12,52.8%,5.6%,0,5,2019 Spring
ALL IN, KR,15,40%,2.3,1.5,3.1,5.5,7.8,350,59.6%,21.4,331,1.13,0.6,0.24,0.39,-433,-10,-382,13.3%,6.7%,1,1,2019 Spring
Abbedagge, DE,19,47.4%,2.8,2.2,2.3,4.2,9.0,389,63.9%,24.6,417,1.03,0.51,0.19,0.26,-199,-4,-151,10.5%,21.1%,0,2,2019 Spring
Ablazeolive, CA,25,68%,5.5,4.0,2.0,6.9,8.8,414,71.8%,28.8,572,1.03,0.42,0.21,0.26,20,3,-19,16%,8%,0,11,2019 Spring
Abou222, TN,4,25%,2.9,1.3,3.8,9.8,1.6,249,76.7%,7.3,157,2.44,1.53,0.29,0.4,-712,-6,-646,0%,0%,0,2,2019 Spring
Absolute, TR,1,100%,3.5,2.0,6.0,19.0,1.2,233,87.5%,7.9,222,1.92,1.12,0.07,0.37,-833,0,-1392,0%,0%,0,-,2019 Spring
Acce, AR,33,66.7%,3.3,2.0,1.8,4.2,8.0,375,51.9%,19.4,340,0.98,0.48,0.16,0.21,-152,0,104,12.1%,15.2%,0,4,2019 Spring
Acee, JP,20,40%,4.2,2.7,1.8,4.9,8.0,373,64.8%,20.5,329,1.09,0.49,0.25,0.23,-25,-6,41,25%,0%,0,9,2019 Spring
Acefos, IT,26,65.4%,2.4,2.5,3.5,5.8,7.5,387,53.6%,23.0,469,0.86,0.4,0.15,0.08,100,-2,-3,26.9%,11.5%,0,10,2019 Spring
Achuu, DK,10,30%,3,2.9,2.2,3.7,8.7,396,62.8%,31.2,574,1.12,0.45,0.27,0.17,-622,-13,-622,30%,10%,0,2,2019 Spring
Adiss, CZ,10,60%,2.7,1.9,1.8,2.9,7.7,377,44.2%,22.0,371,0.78,0.36,0.13,0.11,334,14,661,20%,0%,0,4,2019 Spring
Adm, HU,10,30%,3,2.2,2.1,4.1,8.2,365,63.3%,26.9,478,0.93,0.53,0.14,0.27,-540,-7,-331,20%,10%,0,1,2019 Spring
Aesthetic, SE,14,21.4%,1.6,1.5,3.8,4.6,5.0,311,61%,12.9,214,1.29,0.41,0.33,0.33,-384,-7,-312,42.9%,0%,0,2,2019 Spring
Aether, GB,1,0%,3,3.0,1.0,0.0,8.7,365,60%,28.1,411,0.69,0.31,0.15,0.08,96,-1,-126,100%,0%,0,-,2019 Spring
Afm, PT,17,82.4%,8.8,3.5,1.1,5.8,9.1,423,63.6%,26.9,560,1.41,0.37,0.44,0.16,782,26,459,23.5%,0%,0,-,2019 Spring
Agentas, GB,3,0%,1.8,2.3,2.0,1.3,4.3,280,57.1%,12.3,189,1.23,0.5,0.29,0.39,-1276,-9,-889,0%,0%,0,-,2019 Spring
