Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team
Flandre, CN,72.0,68.1,3.2,2.9,2.6,5.3,8.6,412.0,56.3,24.9,497.0,1.06,0.27,0.26,0.13,336.0,8.0,-3.0,4.2,4.2,0.0,2.0,2021 Summer,
Flare, BR,24.0,79.2,7.6,4.0,1.4,6.8,8.8,424.0,62.6,27.7,587.0,1.19,0.47,0.29,0.2,205.0,3.0,299.0,16.7,8.3,0.0,3.0,2021 Summer,
Flaw, JP,9.0,44.4,2.6,3.8,3.7,5.9,5.2,326.0,71.0,18.8,307.0,1.41,0.43,0.43,0.41,-428.0,-7.0,-417.0,33.3,11.1,0.0,1.0,2021 Summer,
Flaw1ess, RS,6.0,16.7,1.6,1.7,4.8,6.2,6.2,329.0,76.5,18.5,269.0,1.1,0.3,0.28,0.27,-848.0,-2.0,-308.0,33.3,33.3,0.0,,2021 Summer,
Flawed, NL,6.0,16.7,2.6,2.5,2.7,4.5,6.5,346.0,68.0,21.2,349.0,1.59,0.43,0.49,0.27,-4.0,6.0,-104.0,16.7,33.3,0.0,2.0,2021 Summer,
Flawless, KR,16.0,75.0,5.2,4.1,2.3,7.9,5.4,355.0,71.6,16.4,316.0,1.61,0.53,0.45,0.45,422.0,-1.0,145.0,31.3,18.8,0.0,1.0,2021 Summer,
Flaystation, DK,22.0,63.6,3.5,1.2,3.0,9.5,1.2,241.0,67.2,8.4,167.0,2.63,1.78,0.23,0.6,76.0,0.0,-106.0,40.9,0.0,0.0,1.0,2021 Summer,
Fleck, TR,14.0,7.1,1.3,0.7,2.9,3.1,8.0,334.0,62.1,22.9,311.0,0.69,0.32,0.13,0.1,-911.0,-15.0,-747.0,7.1,14.3,0.0,,2021 Summer,
Flif, RS,10.0,10.0,1.9,3.4,4.3,4.9,7.2,363.0,73.8,24.6,458.0,1.09,0.24,0.3,0.11,-179.0,2.0,-407.0,40.0,0.0,0.0,,2021 Summer,
Flipper, DK,11.0,9.1,1.0,1.3,4.8,3.5,6.1,320.0,64.5,15.5,276.0,1.05,0.25,0.26,0.18,-4.0,0.0,-11.0,27.3,9.1,0.0,1.0,2021 Summer,
Floppy, AU,20.0,35.0,2.3,0.6,4.3,9.2,0.9,224.0,66.4,6.8,128.0,1.99,1.06,0.26,0.31,-190.0,-0.0,-23.0,25.0,10.0,0.0,,2021 Summer,
Fly, KR,50.0,52.0,3.2,2.3,2.5,5.5,8.1,370.0,63.0,22.0,413.0,1.14,0.41,0.28,0.21,-175.0,-4.0,-135.0,32.0,8.0,0.0,2.0,2021 Summer,
FoFo, TW,49.0,55.1,5.2,3.2,1.6,5.1,8.5,396.0,69.2,25.8,506.0,,0.37,0.24,0.15,,,,,,0.0,,2021 Summer,
FoX, IT,3.0,0.0,0.5,0.0,4.7,2.3,1.2,196.0,48.4,5.6,88.0,1.79,1.28,0.21,0.46,-317.0,4.0,-216.0,0.0,0.0,0.0,,2021 Summer,
Focus, KR,26.0,57.7,3.8,5.0,2.5,4.3,9.1,444.0,58.1,27.8,562.0,1.19,0.43,0.31,0.17,-238.0,-3.0,-96.0,23.1,3.8,0.0,5.0,2021 Summer,
Forge, CN,39.0,35.9,3.3,3.1,2.5,5.2,8.1,384.0,71.0,24.2,470.0,,0.4,0.22,0.18,,,,,,0.0,,2021 Summer,
Fr0zen, PT,14.0,28.6,2.7,2.1,2.3,3.9,7.8,375.0,55.4,23.1,403.0,0.76,0.34,0.09,0.08,613.0,15.0,622.0,7.1,0.0,0.0,1.0,2021 Summer,
Fraid, FR,19.0,21.1,1.2,1.7,4.7,4.2,6.3,318.0,50.0,22.1,425.0,0.98,0.4,0.17,0.16,-473.0,-8.0,-416.0,26.3,15.8,0.0,2.0,2021 Summer,
Fred, PT,19.0,36.8,3.3,5.0,3.4,6.1,7.6,393.0,66.2,23.1,488.0,0.82,0.33,0.1,0.11,-81.0,-8.0,-77.0,10.5,10.5,0.0,7.0,2021 Summer,
Frenzy, HU,13.0,46.2,2.2,3.5,4.0,5.2,6.9,377.0,66.8,17.9,344.0,1.49,0.31,0.42,0.33,-384.0,3.0,14.0,23.1,15.4,0.0,3.0,2021 Summer,
Fresskowy, PL,23.0,65.2,4.5,3.7,2.4,7.1,8.1,408.0,63.2,23.0,516.0,1.08,0.46,0.2,0.22,455.0,7.0,111.0,30.4,8.7,0.0,16.0,2021 Summer,G2 Arctic
Frle, HR,3.0,0.0,1.1,2.7,3.7,1.3,7.3,336.0,78.6,27.4,432.0,0.6,0.28,0.12,0.12,-359.0,9.0,300.0,0.0,0.0,0.0,2.0,2021 Summer,
Froggy, VN,33.0,45.5,2.9,3.2,3.6,7.3,7.2,367.0,66.7,23.0,486.0,1.22,0.51,0.26,0.19,-190.0,-14.0,-402.0,27.3,12.1,0.0,8.0,2021 Summer,
Frost, HU,2.0,50.0,1.3,3.5,6.0,4.0,7.5,372.0,56.2,15.2,267.0,1.15,0.24,0.24,0.09,-495.0,-6.0,-416.0,50.0,0.0,0.0,,2021 Summer,
Frosts, AU,21.0,14.3,2.2,3.4,3.2,3.8,8.9,412.0,61.6,28.7,462.0,1.0,0.36,0.31,0.14,-210.0,-8.0,-252.0,33.3,4.8,0.0,3.0,2021 Summer,
Fudge, AU,64.0,54.7,4.8,3.2,1.8,5.6,8.3,403.0,60.6,22.1,432.0,1.13,0.43,0.16,0.15,-90.0,1.0,137.0,18.8,6.3,0.0,20.0,2021 Summer,
