Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team
1116, TW,28.0,57.1,4.1,2.6,2.2,6.5,8.0,377.0,67.1,27.6,581.0,1.42,0.37,0.28,0.25,-78.0,-0.0,-181.0,32.1,10.7,0.0,3.0,2023 Spring,
113, TR,33.0,42.4,2.5,1.8,3.7,7.6,4.4,312.0,72.9,14.3,304.0,1.43,0.31,0.32,0.28,-361.0,-15.0,-491.0,42.4,21.2,0.0,3.0,2023 Spring,
1Blue, KR,10.0,10.0,0.9,1.4,3.8,2.0,8.2,351.0,38.7,27.0,494.0,0.91,0.32,0.14,0.1,-690.0,-2.0,-358.0,0.0,30.0,0.0,3.0,2023 Spring,
2Trick, NL,13.0,30.8,2.0,1.4,4.8,8.2,0.9,226.0,51.8,9.0,228.0,2.31,0.77,0.31,0.22,-168.0,-5.0,-333.0,15.4,7.7,0.0,,2023 Spring,
369, CN,48.0,77.1,3.7,2.4,2.3,5.9,7.8,383.0,53.7,21.1,509.0,,,,,,,,,,,,2023 Spring,
5Kid, KR,28.0,53.6,3.8,4.2,2.3,4.7,9.9,450.0,68.6,30.3,697.0,1.54,0.42,0.4,0.18,211.0,11.0,87.0,25.0,14.3,0.0,5.0,2023 Spring,
6ax, BG,18.0,50.0,3.3,3.3,2.7,5.6,8.0,393.0,67.8,30.7,666.0,1.14,0.37,0.2,0.15,183.0,4.0,-25.0,27.8,5.6,0.0,6.0,2023 Spring,
9eetoo, PS,15.0,40.0,2.5,3.1,3.1,4.7,7.3,380.0,46.9,22.3,482.0,1.11,0.27,0.18,0.15,-275.0,-11.0,-362.0,20.0,6.7,0.0,8.0,2023 Spring,
ACD, EE,32.0,68.8,3.1,3.2,2.9,6.0,7.8,410.0,54.8,24.2,637.0,1.26,0.36,0.19,0.11,380.0,10.0,236.0,15.6,9.4,0.0,12.0,2023 Spring,
ADD, KR,37.0,48.6,2.3,2.4,3.4,5.3,7.8,390.0,49.8,24.4,567.0,1.24,0.4,0.2,0.14,41.0,0.0,-174.0,8.1,24.3,0.0,12.0,2023 Spring,
AHaHaCiK, RU,26.0,61.5,2.9,2.2,3.6,8.3,5.1,331.0,79.0,14.2,351.0,1.49,0.31,0.34,0.28,-61.0,0.0,47.0,34.6,15.4,0.0,,2023 Spring,Rebels Gaming
AKLASS, KW,8.0,25.0,2.5,3.8,2.8,3.0,9.2,412.0,53.2,21.7,462.0,1.04,0.35,0.28,0.12,-184.0,9.0,40.0,12.5,12.5,0.0,,2023 Spring,
AKi, CN,60.0,55.0,3.6,2.1,2.5,6.8,5.3,336.0,74.1,14.4,312.0,,,,,,,,,,,,2023 Spring,
AOS, RO,6.0,0.0,0.6,0.8,4.7,2.2,7.1,321.0,34.6,24.7,405.0,0.65,0.33,0.06,0.05,-494.0,0.0,-541.0,16.7,0.0,0.0,1.0,2023 Spring,
APA, US,54.0,57.4,3.9,3.3,2.3,5.6,8.9,421.0,63.8,28.2,605.0,1.23,0.39,0.17,0.11,261.0,0.0,57.0,20.4,11.1,0.0,11.0,2023 Spring,
ASTRO1, BA,14.0,14.3,2.1,2.8,3.2,4.1,7.8,371.0,57.9,23.4,455.0,0.82,0.22,0.19,0.11,-790.0,-22.0,-193.0,21.4,14.3,0.0,,2023 Spring,
Abagnale, TR,23.0,39.1,2.3,0.7,4.3,9.3,1.2,241.0,71.3,8.1,178.0,3.13,1.16,0.41,0.4,-189.0,6.0,-74.0,21.7,13.0,0.0,1.0,2023 Spring,
Abbedagge, DE,3.0,0.0,1.5,2.7,4.0,3.3,7.3,350.0,64.5,25.6,546.0,0.92,0.44,0.12,0.16,-1305.0,-24.0,-945.0,0.0,33.3,0.0,,2023 Spring,
Ablazeolive, CA,15.0,20.0,1.4,1.6,3.6,3.3,8.6,367.0,53.1,27.2,580.0,0.97,0.22,0.17,0.14,-312.0,1.0,-21.0,0.0,20.0,0.0,3.0,2023 Spring,
Able, CN,60.0,55.0,3.6,3.5,2.4,5.3,9.7,449.0,67.6,28.6,624.0,,,,,,,,,,,,2023 Spring,
Abner, ES,18.0,38.9,3.5,3.3,2.3,4.8,8.7,412.0,64.3,25.9,573.0,0.8,0.17,0.21,0.01,296.0,2.0,110.0,38.9,11.1,0.0,1.0,2023 Spring,
Absolute, TR,19.0,47.4,3.1,0.8,2.9,8.4,1.0,235.0,68.0,6.5,127.0,2.36,0.96,0.26,0.31,-101.0,4.0,121.0,42.1,5.3,0.0,,2023 Spring,
Acce, AR,10.0,80.0,4.8,2.3,1.6,5.3,7.9,382.0,41.6,15.4,359.0,0.83,0.29,0.12,0.19,-28.0,-6.0,-56.0,20.0,10.0,0.0,2.0,2023 Spring,
Acee, JP,30.0,6.7,2.0,1.8,2.7,3.6,7.9,347.0,66.8,25.8,452.0,1.25,0.33,0.26,0.23,-607.0,-13.0,-314.0,23.3,3.3,0.0,3.0,2023 Spring,
Ackerman, AR,28.0,53.6,6.5,0.8,1.6,9.5,1.1,249.0,77.5,9.7,223.0,3.39,1.56,0.46,0.46,63.0,-0.0,165.0,28.6,3.6,0.0,1.0,2023 Spring,
Adam, FR,36.0,63.9,2.7,2.8,3.0,5.4,7.6,378.0,52.6,19.4,431.0,1.01,0.41,0.2,0.17,-222.0,-2.0,-85.0,16.7,13.9,0.0,18.0,2023 Spring,
Addusto, DE,8.0,25.0,0.9,1.6,4.3,2.3,8.5,389.0,32.0,21.7,450.0,1.08,0.33,0.17,0.08,-77.0,2.0,-45.0,25.0,0.0,0.0,4.0,2023 Spring,
Adept, SE,14.0,42.9,2.8,0.8,3.8,9.7,1.0,234.0,66.6,8.6,176.0,2.53,0.7,0.31,0.29,-96.0,-0.0,-69.0,28.6,14.3,0.0,,2023 Spring,
Adison, PL,18.0,38.9,2.4,3.1,3.2,4.7,8.4,399.0,59.1,26.1,567.0,0.95,0.24,0.23,0.07,-279.0,-8.0,-210.0,11.1,5.6,0.0,1.0,2023 Spring,
Adiss, CZ,18.0,55.6,4.0,3.6,2.4,5.9,8.0,397.0,50.4,19.8,554.0,0.96,0.24,0.2,0.12,62.0,-3.0,168.0,0.0,5.6,0.0,7.0,2023 Spring,
Advienne, NL,31.0,51.6,3.9,1.1,2.6,9.2,0.8,237.0,68.9,7.8,184.0,2.93,1.35,0.36,0.45,35.0,-2.0,104.0,29.0,9.7,0.0,2.0,2023 Spring,Fnatic TQ
Aegis, BR,26.0,50.0,3.2,2.3,2.7,6.5,6.1,341.0,70.3,14.7,291.0,1.23,0.3,0.27,0.27,-84.0,3.0,7.0,46.2,3.8,0.0,,2023 Spring,
Aetinoth, TR,22.0,63.6,4.7,5.5,2.5,6.0,8.4,456.0,67.8,25.3,621.0,1.42,0.4,0.33,0.13,696.0,7.0,193.0,31.8,0.0,0.0,5.0,2023 Spring,
Afm, PT,23.0,60.9,8.3,3.7,1.2,6.3,9.1,424.0,68.2,27.8,598.0,1.19,0.32,0.31,0.14,335.0,8.0,51.0,30.4,0.0,0.0,4.0,2023 Spring,
Afroboi, DE,23.0,60.9,2.9,2.1,3.2,7.2,4.6,308.0,64.9,13.2,291.0,1.31,0.28,0.3,0.25,-258.0,-7.0,-17.0,34.8,8.7,0.0,1.0,2023 Spring,
Agresivoo, PL,25.0,52.0,2.4,2.1,2.6,4.2,7.7,363.0,50.2,18.9,440.0,1.25,0.36,0.19,0.18,-681.0,-11.0,-376.0,16.0,12.0,0.0,6.0,2023 Spring,
Ahn, CN,36.0,50.0,3.3,4.4,2.8,4.8,9.3,447.0,70.0,29.0,628.0,,,,,,,,,,,,2023 Spring,
Aiming, KR,60.0,61.7,5.6,3.9,1.4,4.1,10.1,461.0,65.7,28.6,563.0,1.58,0.39,0.44,0.15,-35.0,-2.0,154.0,20.0,5.0,0.0,7.0,2023 Spring,
Air, SE,23.0,39.1,3.2,3.3,2.7,5.5,8.9,401.0,70.8,28.4,628.0,1.04,0.21,0.18,0.09,177.0,7.0,90.0,21.7,8.7,0.0,5.0,2023 Spring,
Airren, US,25.0,4.0,1.4,2.0,3.5,2.8,7.5,354.0,69.9,23.7,385.0,0.96,0.29,0.19,0.11,-802.0,-8.0,-358.0,32.0,12.0,0.0,,2023 Spring,
Aithusa, BR,19.0,52.6,3.6,4.8,2.8,5.2,7.9,397.0,68.7,26.7,586.0,1.3,0.37,0.2,0.17,-93.0,-4.0,-65.0,26.3,5.3,0.0,8.0,2023 Spring,
Ajwad, SA,21.0,47.6,4.1,3.0,2.7,8.2,5.8,359.0,73.0,14.8,348.0,1.28,0.24,0.32,0.17,74.0,1.0,-55.0,33.3,4.8,0.0,4.0,2023 Spring,
Akabane, FR,24.0,66.7,4.8,3.3,2.7,9.8,5.8,368.0,72.8,13.5,330.0,1.53,0.29,0.35,0.29,338.0,8.0,322.0,41.7,12.5,0.0,,2023 Spring,
Akano,,8.0,12.5,0.9,1.0,5.0,3.6,4.5,292.0,77.8,13.1,228.0,0.9,0.18,0.17,0.21,-694.0,-14.0,-359.0,25.0,37.5,0.0,1.0,2023 Spring,
Akre, DE,18.0,11.1,2.5,2.9,3.3,5.3,5.3,323.0,68.0,20.3,416.0,1.41,0.14,0.37,0.11,73.0,10.0,350.0,27.8,11.1,0.0,,2023 Spring,Guasones
Aladoric, AU,35.0,51.4,4.3,1.1,2.9,11.7,0.9,251.0,72.4,8.6,198.0,2.63,1.45,0.26,0.42,-5.0,4.0,180.0,34.3,20.0,0.0,1.0,2023 Spring,
Alan, FR,1.0,100.0,4.3,9.0,4.0,8.0,7.6,476.0,50.0,24.5,883.0,1.51,0.0,0.25,0.09,-54.0,-21.0,-872.0,0.0,0.0,0.0,2.0,2023 Spring,
Alby, NL,18.0,44.4,3.4,1.5,2.3,6.4,5.4,323.0,67.4,16.1,355.0,1.58,0.19,0.47,0.21,189.0,2.0,117.0,44.4,11.1,0.0,4.0,2023 Spring,
Ale, CN,51.0,64.7,3.1,2.7,2.3,4.4,8.5,405.0,55.0,21.5,513.0,,,,,,,,,,,,2023 Spring,
Alex, TW,31.0,61.3,3.8,2.4,2.7,7.9,5.4,335.0,69.6,13.8,332.0,1.95,0.31,0.51,0.32,-34.0,2.0,86.0,29.0,6.5,0.0,6.0,2023 Spring,
Alexx, SE,27.0,51.9,3.2,2.3,3.0,7.3,5.1,322.0,68.4,13.6,298.0,1.41,0.18,0.39,0.21,-3.0,-3.0,-81.0,22.2,18.5,0.0,2.0,2023 Spring,
Aliplane, NL,12.0,33.3,2.6,2.8,3.0,4.8,8.1,385.0,49.7,24.6,529.0,0.9,0.25,0.19,0.06,-570.0,-11.0,-496.0,8.3,8.3,0.0,,2023 Spring,
Aloned, CL,14.0,0.0,1.4,1.3,3.0,2.8,8.8,367.0,58.3,28.1,528.0,1.2,0.24,0.32,0.16,-331.0,-2.0,-3.0,7.1,7.1,0.0,2.0,2023 Spring,
Alvaro, ES,43.0,62.8,4.3,1.0,3.4,13.7,1.1,264.0,81.2,9.0,214.0,2.97,1.37,0.36,0.42,305.0,1.0,155.0,37.2,18.6,0.0,3.0,2023 Spring,Movistar Riders
Anathar, FR,18.0,11.1,1.5,1.5,3.3,3.5,7.0,325.0,46.7,18.7,350.0,0.84,0.19,0.14,0.08,-676.0,-17.0,-259.0,16.7,0.0,0.0,5.0,2023 Spring,
Ancrath, BR,18.0,38.9,2.7,3.2,3.6,6.3,5.6,342.0,67.7,18.6,431.0,1.59,0.24,0.44,0.21,-164.0,4.0,-130.0,16.7,11.1,0.0,1.0,2023 Spring,
Andariel, TR,23.0,43.5,5.6,4.0,1.7,5.3,9.4,445.0,71.3,28.5,561.0,1.21,0.22,0.32,0.11,117.0,-5.0,-218.0,39.1,4.3,0.0,2.0,2023 Spring,
Andil, KR,42.0,26.2,2.1,1.2,3.6,6.5,1.0,233.0,66.9,10.1,220.0,2.83,1.2,0.43,0.44,69.0,-2.0,237.0,40.5,11.9,0.0,1.0,2023 Spring,
Angel, CN,36.0,55.6,3.7,3.1,2.3,5.2,8.3,394.0,63.3,23.8,530.0,,,,,,,,,,,,2023 Spring,
AnnieBot, EG,3.0,0.0,0.9,1.0,2.7,1.3,7.6,330.0,64.8,21.5,417.0,0.95,0.4,0.1,0.12,-686.0,-7.0,403.0,0.0,0.0,0.0,,2023 Spring,
Antwere, SE,15.0,20.0,1.9,1.7,3.6,5.1,4.9,305.0,56.8,15.0,307.0,1.33,0.17,0.33,0.25,-381.0,-1.0,-85.0,13.3,0.0,0.0,2.0,2023 Spring,
Apii, CN,17.0,52.9,4.0,0.9,2.7,9.9,0.9,252.0,69.6,6.6,144.0,2.69,1.14,0.39,0.37,158.0,1.0,118.0,47.1,11.8,0.0,1.0,2023 Spring,
Arhys, FR,14.0,28.6,1.8,1.5,3.0,3.8,7.1,335.0,46.5,19.4,378.0,1.13,0.26,0.2,0.12,-587.0,-14.0,-319.0,21.4,7.1,0.0,3.0,2023 Spring,
Aria, KR,42.0,73.8,7.2,4.6,1.5,6.2,8.9,438.0,68.8,27.2,676.0,1.35,0.32,0.31,0.23,751.0,14.0,529.0,31.0,4.8,0.0,15.0,2023 Spring,
Ariana, PL,24.0,41.7,2.6,2.3,2.6,4.5,7.6,362.0,48.3,19.1,419.0,0.73,0.2,0.11,0.07,16.0,1.0,142.0,20.8,16.7,0.0,8.0,2023 Spring,
Armut, TR,18.0,16.7,1.6,1.8,2.9,2.9,7.8,365.0,53.4,22.8,455.0,1.22,0.36,0.21,0.21,93.0,1.0,-7.0,27.8,16.7,0.0,4.0,2023 Spring,
Array, US,41.0,58.5,5.4,5.0,2.0,6.0,9.0,450.0,68.9,28.1,639.0,1.2,0.31,0.31,0.13,293.0,2.0,178.0,29.3,4.9,0.0,2.0,2023 Spring,
Arrow, KR,54.0,57.4,5.1,4.3,1.9,5.2,8.5,428.0,65.8,24.2,529.0,1.41,0.38,0.35,0.18,317.0,1.0,80.0,25.9,5.6,1.0,3.0,2023 Spring,
Artemis, VN,47.0,51.1,4.3,4.9,2.3,5.2,9.8,469.0,73.3,28.5,595.0,1.38,0.3,0.39,0.15,175.0,2.0,25.0,25.5,14.9,0.0,5.0,2023 Spring,
Artifact, VN,33.0,33.3,3.1,2.3,2.5,5.6,8.4,380.0,66.3,24.5,528.0,1.12,0.25,0.28,0.2,44.0,-1.0,-321.0,12.1,12.1,0.0,4.0,2023 Spring,
Artoria, FR,14.0,42.9,2.2,2.3,2.9,4.0,8.8,393.0,58.0,24.3,474.0,0.89,0.27,0.14,0.12,-70.0,2.0,30.0,14.3,14.3,0.0,3.0,2023 Spring,
Arven, ES,31.0,58.1,3.4,3.2,2.7,5.9,8.3,394.0,62.7,25.5,563.0,1.24,0.37,0.2,0.2,22.0,6.0,80.0,16.1,9.7,0.0,7.0,2023 Spring,
Aspect, US,34.0,17.6,1.5,2.3,3.6,3.0,8.5,368.0,52.2,26.9,540.0,0.75,0.24,0.13,0.1,-578.0,-9.0,-472.0,11.8,17.6,0.0,6.0,2023 Spring,
Asper, KR,28.0,57.1,3.7,1.3,3.0,9.8,1.2,256.0,77.9,9.0,195.0,3.25,1.26,0.45,0.43,196.0,-1.0,-8.0,28.6,14.3,0.0,,2023 Spring,
Assum, CN,40.0,37.5,2.9,3.3,2.6,4.3,9.4,432.0,64.6,30.5,668.0,,,,,,,,,,,,2023 Spring,
Asza, NL,18.0,33.3,2.9,3.6,2.8,4.6,8.9,409.0,67.9,27.9,647.0,1.26,0.29,0.33,0.11,203.0,6.0,29.0,33.3,5.6,0.0,1.0,2023 Spring,
Atlen, TW,31.0,61.3,4.2,5.2,2.5,5.5,9.1,449.0,70.1,27.3,650.0,1.12,0.29,0.33,0.1,79.0,2.0,166.0,29.0,3.2,0.0,1.0,2023 Spring,
Attila, PT,18.0,44.4,3.8,2.9,2.1,5.1,9.7,432.0,71.9,26.5,553.0,1.19,0.26,0.26,0.14,22.0,-1.0,-33.0,44.4,5.6,0.0,,2023 Spring,
Avenger, BR,26.0,50.0,3.1,3.2,2.7,5.2,7.7,372.0,64.5,23.0,455.0,1.15,0.36,0.2,0.18,-139.0,-3.0,-190.0,26.9,3.8,0.0,6.0,2023 Spring,
Avra, DE,27.0,63.0,3.4,5.1,2.9,4.9,9.1,451.0,56.2,26.7,670.0,1.7,0.38,0.36,0.15,332.0,2.0,256.0,18.5,7.4,0.0,10.0,2023 Spring,
Axelent, MK,20.0,45.0,4.3,4.8,2.2,4.7,8.4,429.0,76.0,31.5,687.0,1.21,0.32,0.21,0.09,282.0,8.0,97.0,15.0,5.0,0.0,2.0,2023 Spring,
Aytekn, TR,8.0,25.0,2.1,2.4,2.4,2.5,8.1,373.0,35.9,21.6,455.0,0.75,0.11,0.1,0.12,-703.0,-7.0,-286.0,0.0,12.5,0.0,3.0,2023 Spring,
Ayu, BR,29.0,58.6,4.0,1.1,2.4,8.6,1.6,261.0,74.0,10.2,217.0,3.26,1.37,0.49,0.41,288.0,5.0,120.0,31.0,24.1,0.0,,2023 Spring,
Azhi, TW,38.0,73.7,5.3,2.7,1.7,6.6,7.4,377.0,60.9,19.9,454.0,1.4,0.35,0.25,0.22,186.0,6.0,289.0,21.1,15.8,0.0,16.0,2023 Spring,
Azitorr, FI,23.0,39.1,3.3,5.1,2.9,4.3,9.3,448.0,69.1,27.2,621.0,1.02,0.23,0.26,0.11,-103.0,1.0,73.0,17.4,4.3,1.0,2.0,2023 Spring,
B Butcher, SY,30.0,50.0,2.6,0.8,4.3,10.3,1.4,254.0,66.7,7.8,192.0,3.46,1.16,0.56,0.36,120.0,7.0,14.0,10.0,3.3,0.0,1.0,2023 Spring,
BAO, KR,44.0,77.3,6.6,5.9,1.9,6.9,9.7,482.0,73.3,29.2,731.0,1.38,0.44,0.36,0.16,657.0,8.0,190.0,20.5,6.8,2.0,10.0,2023 Spring,
BOSS, RU,30.0,56.7,3.7,4.2,2.7,5.6,7.3,392.0,49.4,20.9,549.0,0.91,0.34,0.14,0.14,167.0,-3.0,158.0,30.0,6.7,0.0,11.0,2023 Spring,
Babip, AU,35.0,51.4,3.6,2.6,3.1,8.7,4.9,331.0,62.2,13.1,302.0,1.36,0.29,0.32,0.25,-124.0,-2.0,-37.0,37.1,2.9,0.0,4.0,2023 Spring,
Baca, PT,18.0,33.3,3.2,2.5,2.2,4.5,8.8,393.0,64.7,24.6,464.0,1.12,0.36,0.18,0.17,32.0,2.0,14.0,44.4,11.1,0.0,3.0,2023 Spring,
Backlund, SE,36.0,66.7,3.7,4.3,2.4,4.8,8.8,419.0,65.8,26.1,580.0,1.11,0.31,0.23,0.11,208.0,8.0,227.0,16.7,11.1,0.0,16.0,2023 Spring,
Badlulu, FR,22.0,50.0,2.5,2.2,2.5,4.1,8.3,380.0,51.3,21.1,419.0,1.02,0.33,0.13,0.17,-180.0,-1.0,-101.0,22.7,4.5,0.0,2.0,2023 Spring,
Badlyyga, PL,18.0,38.9,3.3,2.0,2.6,6.5,4.6,305.0,65.0,15.8,348.0,1.19,0.2,0.29,0.26,-382.0,-13.0,-492.0,38.9,11.1,0.0,,2023 Spring,
Bakako, PT,14.0,21.4,2.0,2.3,3.6,5.1,5.4,320.0,65.7,15.0,325.0,1.66,0.26,0.49,0.33,-862.0,-5.0,-411.0,14.3,14.3,0.0,,2023 Spring,
Bako, GR,18.0,50.0,2.5,2.6,2.5,3.6,7.9,390.0,50.8,21.8,448.0,1.14,0.31,0.17,0.07,-125.0,-2.0,37.0,11.1,22.2,0.0,7.0,2023 Spring,
Baloo, SE,14.0,7.1,1.4,0.7,4.4,5.5,0.7,216.0,66.7,9.0,169.0,2.45,1.07,0.27,0.37,-192.0,-3.0,-53.0,0.0,28.6,0.0,1.0,2023 Spring,
Balyy, ES,15.0,46.7,2.5,2.3,3.2,5.8,5.7,329.0,67.8,19.2,356.0,1.19,0.12,0.24,0.19,-244.0,8.0,97.0,20.0,20.0,0.0,2.0,2023 Spring,
Bananitoo, GR,35.0,65.7,3.7,1.1,3.4,11.3,0.9,253.0,69.9,8.9,221.0,2.65,1.19,0.38,0.32,79.0,-3.0,-43.0,28.6,17.1,0.0,1.0,2023 Spring,
Banderas, NO,28.0,71.4,3.5,2.5,2.4,6.1,7.6,383.0,55.8,20.3,410.0,1.03,0.29,0.19,0.16,-152.0,-2.0,-21.0,14.3,21.4,0.0,15.0,2023 Spring,
Baolan, CN,37.0,24.3,2.0,0.6,3.4,6.2,0.7,226.0,74.8,9.8,188.0,,,,,,,,,,,,2023 Spring,
Baula, CR,16.0,31.3,3.2,0.6,2.2,6.4,1.2,236.0,67.3,8.3,166.0,3.04,1.15,0.45,0.45,-113.0,5.0,-3.0,18.8,6.3,0.0,,2023 Spring,
Baut, KR,60.0,56.7,4.3,0.7,2.3,9.2,0.8,244.0,75.4,10.6,240.0,2.86,1.39,0.33,0.47,146.0,-0.0,311.0,33.3,3.3,0.0,,2023 Spring,
Bay, KR,61.0,55.7,4.6,2.7,2.0,6.2,8.0,381.0,69.1,23.2,509.0,1.1,0.31,0.19,0.21,-189.0,-10.0,-190.0,21.3,6.6,0.0,7.0,2023 Spring,
Bdd, KR,60.0,61.7,4.8,2.8,1.6,5.0,8.7,398.0,67.4,24.4,472.0,1.06,0.32,0.18,0.2,152.0,-2.0,-86.0,23.3,6.7,0.0,10.0,2023 Spring,
Bean, DE,24.0,62.5,5.2,4.4,2.1,6.4,9.0,432.0,67.2,24.9,617.0,1.15,0.29,0.23,0.11,214.0,5.0,-64.0,16.7,8.3,0.0,3.0,2023 Spring,Fnatic TQ
BeanJ, VN,7.0,28.6,2.2,3.0,4.0,5.7,4.8,304.0,80.1,14.1,324.0,1.73,0.06,0.37,0.3,-285.0,3.0,228.0,28.6,0.0,0.0,,2023 Spring,
Beansu, EE,6.0,16.7,2.8,0.7,3.8,10.0,0.9,232.0,75.0,7.0,189.0,2.64,0.59,0.31,0.4,-194.0,5.0,-214.0,16.7,0.0,0.0,,2023 Spring,
Beenie, BR,18.0,44.4,3.4,3.0,2.3,4.7,9.2,421.0,62.5,24.6,567.0,1.27,0.36,0.28,0.17,-126.0,-4.0,-124.0,16.7,0.0,0.0,2.0,2023 Spring,
Beichuan, CN,40.0,47.5,2.7,2.3,3.2,6.5,5.2,331.0,71.4,17.4,374.0,,,,,,,,,,,,2023 Spring,
Bejjaniii, VE,35.0,5.7,0.8,1.2,4.0,1.9,7.3,328.0,46.6,23.2,401.0,0.78,0.28,0.1,0.1,-871.0,-16.0,-717.0,5.7,11.4,0.0,7.0,2023 Spring,
Belit, PL,4.0,0.0,2.5,0.5,2.5,5.8,4.8,283.0,64.8,13.4,212.0,1.32,0.37,0.29,0.24,-738.0,-16.0,-673.0,25.0,0.0,0.0,,2023 Spring,
Benaset, FR,18.0,44.4,3.4,1.4,3.4,10.4,1.0,259.0,70.5,12.7,295.0,3.47,0.97,0.5,0.33,263.0,2.0,-77.0,44.4,16.7,0.0,1.0,2023 Spring,
Benvi, AU,32.0,53.1,2.6,1.3,4.3,10.0,0.9,259.0,74.6,11.4,287.0,2.35,1.03,0.36,0.32,205.0,-6.0,-12.0,21.9,18.8,0.0,,2023 Spring,
Berserker, KR,30.0,80.0,8.6,5.2,1.2,5.2,10.0,477.0,71.1,28.8,718.0,1.39,0.42,0.35,0.18,418.0,8.0,169.0,20.0,6.7,1.0,7.0,2023 Spring,
BeryL, KR,44.0,27.3,1.7,0.5,3.1,5.0,1.0,231.0,65.9,10.4,205.0,3.0,1.19,0.55,0.51,-158.0,2.0,17.0,11.4,13.6,0.0,1.0,2023 Spring,
Beta32, BR,2.0,0.0,1.8,1.5,4.5,6.5,6.5,307.0,57.0,18.0,368.0,0.61,0.32,0.07,0.13,-1212.0,-24.0,-626.0,0.0,0.0,0.0,1.0,2023 Spring,
Betao, BR,21.0,47.6,3.4,3.2,2.6,5.4,8.8,420.0,58.3,20.4,465.0,1.34,0.4,0.22,0.18,229.0,8.0,88.0,28.6,9.5,0.0,6.0,2023 Spring,
Betty, TW,41.0,31.7,3.3,2.9,2.2,4.5,9.1,408.0,64.9,27.5,584.0,,,,,,,,,,,,2023 Spring,
Bible, KR,14.0,71.4,3.5,1.0,2.7,8.5,1.2,260.0,55.5,9.3,183.0,3.1,1.55,0.44,0.51,190.0,1.0,412.0,14.3,21.4,0.0,,2023 Spring,
Bibou, FR,18.0,44.4,5.3,4.6,2.2,6.9,8.7,428.0,67.1,26.6,621.0,1.25,0.26,0.28,0.14,-0.0,3.0,83.0,38.9,5.6,0.0,1.0,2023 Spring,
Bie, VN,42.0,54.8,5.0,0.9,2.2,10.0,1.0,248.0,73.5,9.1,207.0,3.05,1.49,0.41,0.48,5.0,-1.0,-146.0,16.7,4.8,0.0,,2023 Spring,
Bin, CN,73.0,60.3,3.0,2.7,2.5,4.6,8.4,407.0,48.4,21.7,489.0,0.79,0.39,0.13,0.08,77.0,3.0,-259.0,1.4,0.0,0.0,3.0,2023 Spring,
Bini, KR,19.0,52.6,5.0,4.4,2.1,6.2,8.7,424.0,77.7,28.9,623.0,1.17,0.32,0.27,0.16,167.0,3.0,166.0,21.1,5.3,2.0,3.0,2023 Spring,
BioPanther, AU,35.0,51.4,4.7,2.3,1.9,6.5,7.8,380.0,52.0,21.7,482.0,1.23,0.47,0.12,0.17,-2.0,-1.0,-34.0,20.0,5.7,0.0,12.0,2023 Spring,
Biofrost, CA,6.0,0.0,0.9,0.0,2.7,2.3,0.8,207.0,55.6,9.0,154.0,2.58,1.35,0.43,0.4,-629.0,2.0,-266.0,0.0,0.0,0.0,,2023 Spring,
Biubiu, CN,44.0,45.5,2.2,1.5,2.7,4.5,7.9,366.0,44.8,20.3,439.0,,,,,,,,,,,,2023 Spring,
Bjergsen, DK,28.0,50.0,5.4,2.6,1.8,6.9,8.4,384.0,68.8,26.1,577.0,0.92,0.28,0.13,0.15,-122.0,-2.0,-58.0,25.0,3.6,0.0,2.0,2023 Spring,
Blaber, US,30.0,80.0,4.0,2.2,2.5,7.8,5.8,354.0,69.4,15.5,396.0,1.73,0.41,0.38,0.25,10.0,7.0,170.0,40.0,6.7,0.0,1.0,2023 Spring,
Black, TR,15.0,33.3,2.9,5.4,3.5,4.9,8.6,440.0,64.2,29.1,701.0,1.01,0.23,0.29,0.13,878.0,9.0,40.0,33.3,0.0,0.0,6.0,2023 Spring,
Blacky, BR,32.0,56.3,3.9,3.5,2.5,6.4,8.0,392.0,67.9,26.8,614.0,1.1,0.33,0.23,0.21,-37.0,2.0,17.0,12.5,6.3,0.0,7.0,2023 Spring,
Blazze, US,34.0,14.7,1.7,2.8,3.6,3.3,7.9,365.0,59.4,24.5,485.0,0.86,0.25,0.16,0.1,-304.0,-7.0,-105.0,35.3,5.9,0.0,5.0,2023 Spring,
Blink, ES,18.0,33.3,3.5,3.8,2.4,4.8,9.0,425.0,67.5,24.3,512.0,1.19,0.23,0.22,0.14,-432.0,2.0,190.0,5.6,5.6,0.0,1.0,2023 Spring,
BlueBeast,,4.0,25.0,1.9,3.0,4.0,4.5,8.0,365.0,73.6,24.5,544.0,1.43,0.0,0.32,0.19,-662.0,-3.0,-269.0,0.0,25.0,0.0,,2023 Spring,
Bo, CN,36.0,55.6,2.6,3.4,3.9,6.5,5.6,355.0,65.7,16.8,394.0,1.68,0.43,0.42,0.28,252.0,4.0,159.0,47.2,16.7,0.0,9.0,2023 Spring,
Boal, BR,26.0,50.0,3.5,2.2,2.0,4.8,7.8,379.0,57.4,23.6,462.0,1.17,0.37,0.21,0.2,-185.0,-6.0,85.0,15.4,0.0,0.0,9.0,2023 Spring,
