Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
1116, TW,18,33.3%,2.8,2.2,2.7,5.6,7.3,348,73.6%,23.7,341,1.12,0.54,0.19,0.25,-197,-8,-265,27.8%,11.1%,0,2,2020 Summer
24, TR,10,10%,1.2,1.4,3.1,2.2,7.9,339,60.7%,25.9,329,0.72,0.35,0.14,0.12,-1436,-19,-532,10%,20%,0,-,2020 Summer
369, CN,60,70%,3.6,2.9,2.5,6.0,8.4,409,58.3%,22.7,480,1.04,0.37,0.25,0.14,254,6,82,15%,20%,0,19,2020 Summer
5Kid, KR,35,45.7%,4.9,3.5,1.5,3.8,10.1,438,66.6%,29.1,512,1.21,0.42,0.36,0.15,23,3,156,20%,5.7%,0,6,2020 Summer
705, CN,1,0%,1.5,1.0,2.0,2.0,6.8,301,60%,13,201,0.69,0.42,0.08,0.15,-631,0,311,100%,0%,0,-,2020 Summer
ACD, EE,27,63%,3.1,1.7,2.6,6.2,7.0,355,54.1%,20.8,402,1.11,0.52,0.18,0.21,185,6,238,18.5%,7.4%,0,11,2020 Summer
ADD, KR,8,37.5%,2.1,2.1,4.1,6.6,6.8,342,63%,19.5,417,1.39,0.51,0.17,0.19,-356,-10,-317,37.5%,0%,0,-,2020 Summer
AHaHaCiK, RU,35,74.3%,4.3,3.8,2.6,7.5,5.6,365,66.4%,16,344,1.3,0.35,0.29,0.18,-144,-12,-510,45.7%,5.7%,0,11,2020 Summer
Abbedagge, DE,25,48%,4.0,3.9,2.1,4.4,9.5,418,70.1%,28.3,524,1.19,0.42,0.25,0.17,60,2,76,8%,8%,0,6,2020 Summer
Ablazeolive, CA,23,52.2%,3.5,3.1,2.7,6.5,8.4,396,71.6%,25.4,520,1,0.41,0.17,0.19,319,3,136,43.5%,4.3%,0,3,2020 Summer
Absolute, TR,22,45.5%,2.9,0.5,2.5,6.6,1.0,228,66.5%,9.2,143,1.93,1.1,0.18,0.31,124,-3,74,27.3%,9.1%,0,1,2020 Summer
Acce, AR,39,53.8%,2.9,2.1,2.3,4.6,7.6,364,62%,21.1,353,1.08,0.43,0.23,0.21,-45,2,115,15.4%,15.4%,0,7,2020 Summer
Acee, JP,28,67.9%,6.0,2.7,1.7,7.6,7.2,361,68.4%,20.9,407,1.02,0.48,0.21,0.22,-335,-9,-186,32.1%,3.6%,0,2,2020 Summer
Adept, SE,18,11.1%,1.7,2.8,3.6,3.3,8.2,368,56.4%,26.3,479,0.85,0.44,0.12,0.2,-460,-7,-404,16.7%,16.7%,0,7,2020 Summer
Adiss, CZ,16,62.5%,4.1,2.6,2.2,6.3,7.1,371,50.9%,18.8,380,0.8,0.4,0.11,0.13,-44,-5,-73,12.5%,12.5%,0,4,2020 Summer
Adryh, ES,25,48%,2.8,2.3,2.9,5.8,8.0,386,69.3%,26.3,509,1.32,0.36,0.39,0.13,-196,11,42,28%,8%,0,1,2020 Summer
Advienne, NL,26,46.2%,3.9,0.8,2.4,8.7,1.1,226,66.5%,8,157,2.3,1.36,0.27,0.46,10,1,-59,26.9%,3.8%,0,-,2020 Summer
Aegis, BR,23,78.3%,4.4,2.7,2.3,7.3,6.0,350,62.3%,13,285,1.14,0.43,0.25,0.33,-81,10,380,39.1%,4.3%,0,2,2020 Summer
Aesenar, ES,52,53.8%,4.0,0.7,2.2,8.0,0.8,228,64.2%,10.3,198,2.43,1.41,0.31,0.48,-72,-7,-45,21.2%,9.6%,0,-,2020 Summer
Afm, PT,23,56.5%,4.7,2.8,1.8,5.8,8.4,400,62.2%,26,482,1.25,0.44,0.27,0.17,61,4,99,21.7%,8.7%,0,1,2020 Summer
Agentas, GB,6,16.7%,2.8,2.7,4.0,8.7,4.8,309,72.1%,17.5,338,1.18,0.37,0.24,0.25,-528,-21,-624,0%,16.7%,0,-,2020 Summer
Agresivoo, PL,47,66%,3.9,2.9,2.4,6.5,7.7,398,56.7%,19.8,394,0.97,0.43,0.14,0.19,367,10,359,23.4%,2.1%,0,13,2020 Summer
Agurin, DE,35,48.6%,2.3,3.1,4.4,7.1,6.6,368,68.2%,22.7,445,1.7,0.52,0.44,0.26,73,4,308,37.1%,8.6%,0,6,2020 Summer
Ahzidal, PT,3,33.3%,1.8,1.0,5.7,9.3,1.0,238,73.3%,10.6,168,2.31,1.32,0.26,0.47,308,-5,232,0%,33.3%,0,-,2020 Summer
Aiming, KR,46,39.1%,4.1,3.7,1.9,4.1,9.7,431,72.2%,31.1,589,1.42,0.5,0.43,0.14,28,6,-6,15.2%,4.3%,1,6,2020 Summer
Air, SE,8,62.5%,3.9,2.9,2.6,7.3,8.5,394,64.9%,22.3,450,1.15,0.42,0.29,0.21,88,3,171,37.5%,25%,0,-,2020 Summer
Aix, CN,18,55.6%,4.8,2.7,1.8,6.1,5.6,335,68.9%,14.3,268,1.58,0.42,0.44,0.33,30,-3,-15,33.3%,0%,0,3,2020 Summer
Aizhon, ES,32,50%,4.1,0.5,2.0,7.6,1.4,227,63.5%,7,128,2.36,1.43,0.34,0.49,-146,2,181,21.9%,12.5%,0,-,2020 Summer
Akaadian, US,18,33.3%,3.0,2.1,2.4,5.3,6.3,336,73.9%,17.2,279,1.47,0.42,0.36,0.27,86,6,314,33.3%,11.1%,0,1,2020 Summer
Akalos, ES,2,0%,1.0,1.5,3.5,2.0,5.4,293,70.8%,22.9,290,0.76,0.28,0.18,0.22,-354,-14,-610,50%,0%,0,-,2020 Summer
Akutsune, FR,12,25%,1.9,0.3,3.3,6.0,1.2,222,47.7%,9.4,187,2.48,1.28,0.35,0.21,-260,3,-106,0%,16.7%,0,-,2020 Summer
Alba, PT,5,0%,1.2,1.2,3.2,2.6,5.5,294,68.9%,15.4,225,1.19,0.37,0.34,0.27,108,10,437,40%,40%,0,-,2020 Summer
Alchemy, JP,22,59.1%,3.1,1.1,3.2,8.7,1.2,233,72.3%,8.7,161,2.48,1.54,0.32,0.47,-3,1,56,31.8%,13.6%,0,-,2020 Summer
Aliez, CN,1,0%,0.3,1.0,3.0,0.0,8.2,343,50%,33.7,330,1,0.48,0.16,0.2,-1049,-12,-1353,0%,0%,0,-,2020 Summer
Alive, KR,21,66.7%,2.6,3.5,3.1,4.7,9.5,426,67.9%,29.4,592,1.35,0.48,0.36,0.13,216,9,132,23.8%,4.8%,0,2,2020 Summer
Alois, NL,18,11.1%,1.4,2.1,3.3,2.6,8.7,393,51.2%,25.1,440,0.92,0.43,0.1,0.11,143,14,202,0%,11.1%,0,2,2020 Summer
Aloned, CL,37,56.8%,3.3,2.7,2.2,4.4,8.2,388,63.7%,25.4,434,1.15,0.46,0.26,0.18,222,3,11,21.6%,10.8%,0,8,2020 Summer
Alphari, GB,18,33.3%,2.6,2.1,2.4,4.1,8.2,381,63.1%,24.8,432,1.01,0.45,0.14,0.14,389,18,323,33.3%,27.8%,0,6,2020 Summer
Altec, CA,16,31.3%,2.0,2.7,2.9,3.3,9.1,396,54.9%,25.5,457,1.14,0.41,0.28,0.13,-516,-4,153,18.8%,12.5%,0,1,2020 Summer
Alternative, PT,15,40%,2.8,4.2,3.4,5.3,8.1,406,72.7%,27.7,538,1.46,0.62,0.3,0.23,222,0,-88,6.7%,13.3%,0,3,2020 Summer
AnDa, CA,24,50%,5.0,3.3,2.1,7.1,6.3,356,79.4%,17.1,352,1.85,0.56,0.52,0.32,278,12,317,37.5%,4.2%,0,-,2020 Summer
