Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
3z, TW,37,51.4%,2.6,1.9,2.5,4.4,8.4,384,59.7%,23.4,440,-,0.52,0.14,0.1,227,9,158,24.3%,8.1%,0,8,2017 Spring
4LaN, BR,14,21.4%,2.8,2.9,2.9,5.1,4.8,330,74.3%,16.3,279,-,0.75,0.32,0.2,80,4,216,28.6%,7.1%,0,3,2017 Spring
957, CN,58,67.2%,4.7,2.1,1.9,6.9,7.8,377,58.7%,18.5,360,-,0.54,0.11,0.09,116,-0,-24,6.9%,1.7%,0,2,2017 Spring
ADD, KR,50,50%,2.5,1.7,2.9,5.6,7.7,363,58.7%,23.3,443,-,0.59,0.17,0.15,-85,-2,-123,22%,8%,0,8,2017 Spring
Achie, TW,11,72.7%,2.6,2.5,2.7,4.5,4.1,348,51.9%,12.3,224,-,0.67,0.4,0.4,-111,-8,216,0%,9.1%,0,-,2017 Spring
Adrian, US,32,56.3%,3.6,0.7,2.6,8.7,0.7,268,71.7%,10.2,214,-,1.62,0.35,0.38,96,-2,141,15.6%,6.3%,0,1,2017 Spring
Akaadian, US,43,34.9%,2.7,4.1,3.3,4.9,5.3,357,68.2%,16.5,326,-,0.61,0.29,0.2,216,-1,-145,46.5%,18.6%,0,4,2017 Spring
Albis, TW,37,75.7%,3.8,0.9,2.4,8.4,0.9,277,70.3%,8.9,172,-,1.38,0.57,0.4,98,3,125,27%,5.4%,0,1,2017 Spring
Alex Ich, RU,4,0%,2.1,4.0,4.8,5.8,7.6,363,63.7%,19.5,521,-,0.3,0.14,0.07,-347,-6,-392,25%,25%,0,2,2017 Spring
Ali, CN,20,60%,3.5,0.6,2.5,8.1,0.9,-,69.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Spring
Alone, CN,32,59.4%,4.3,3.0,2.0,5.7,7.9,-,66.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Spring
Alphari, GB,43,53.5%,3.3,2.2,2.3,5.4,8.5,378,60.2%,21.8,395,-,0.48,0.13,0.1,74,2,99,27.9%,20.9%,0,6,2017 Spring
Altec, CA,56,48.2%,3.8,3.3,2.2,5.1,8.5,398,64.2%,24,475,-,0.43,0.22,0.11,139,-3,101,14.3%,7.1%,1,2,2017 Spring
Amazing, DE,32,59.4%,3.4,2.8,2.7,6.3,4.8,352,71.1%,13.9,245,-,0.8,0.34,0.23,10,-5,-172,56.3%,3.1%,0,4,2017 Spring
AmazingJ, HK,48,47.9%,3.7,2.5,2.4,6.5,8.3,-,64.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Spring
Ambition, KR,13,53.8%,3,2.8,2.8,5.7,5.7,364,65.3%,16.2,324,-,0.84,0.36,0.22,142,16,436,23.1%,23.1%,0,4,2017 Spring
Anex, TW,37,75.7%,6.3,3.3,1.4,5.8,9.2,423,67.2%,24,463,-,0.46,0.27,0.11,150,7,152,24.3%,10.8%,0,1,2017 Spring
