Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
3z, TW,41,43.9%,2.4,2.6,3.0,4.7,8.7,384,62.9%,22.1,376,-,0.53,0.13,0.12,8,7,56,9.8%,24.4%,0,16,2017 Summer
4LaN, BR,32,56.3%,2.5,2.0,2.9,5.1,4.5,335,65%,14.7,257,-,0.76,0.3,0.29,168,10,267,40.6%,12.5%,0,2,2017 Summer
957, CN,85,63.5%,4.3,2.2,1.9,6.1,7.8,374,64.4%,20.2,412,-,0.53,0.11,0.12,87,-0,71,5.9%,1.2%,0,2,2017 Summer
ADD, KR,50,32%,1.6,1.6,3.4,3.9,8.0,354,54.6%,23.6,410,-,0.61,0.18,0.17,-294,-9,-367,10%,26%,0,7,2017 Summer
Absolut, BR,32,56.3%,3.7,3.2,1.9,4.1,8.7,402,61.4%,27.5,510,-,0.4,0.18,0.11,-200,-6,-61,21.9%,0%,0,1,2017 Summer
Acce, AR,6,50%,2.9,2.8,2.5,4.3,8.6,379,67%,30.7,533,-,0.6,0.11,0.18,-496,-6,-114,33.3%,33.3%,0,2,2017 Summer
Adrian, US,36,50%,2.7,0.6,3.0,7.4,0.8,279,72.2%,7.3,135,-,1.76,0.29,0.44,111,-1,81,16.7%,16.7%,0,1,2017 Summer
Akaadian, US,34,41.2%,2.4,1.8,2.5,4.4,4.5,322,64.3%,12.9,244,-,0.69,0.3,0.16,-11,1,24,47.1%,2.9%,0,6,2017 Summer
Albis, TW,53,56.6%,3.5,0.7,2.0,6.4,1.1,274,57.6%,8.5,157,-,1.36,0.42,0.39,-17,1,-41,20.8%,5.7%,0,-,2017 Summer
Alex, TW,41,53.7%,3.2,2.1,2.6,6.3,4.4,332,66.1%,13.6,276,-,1,0.41,0.28,151,2,104,39%,12.2%,0,2,2017 Summer
Alphari, GB,54,48.1%,3.3,1.8,2.4,5.9,8.2,372,60%,20.6,373,-,0.57,0.11,0.14,-37,1,-74,22.2%,16.7%,0,6,2017 Summer
Altec, CA,44,47.7%,3.8,3.3,2.0,4.3,9.2,415,70.5%,28.2,536,-,0.4,0.29,0.1,66,0,24,11.4%,9.1%,1,4,2017 Summer
Amazing, DE,28,25%,2.5,1.6,2.8,5.3,4.0,309,73.6%,13.6,226,-,0.82,0.38,0.24,-37,-4,22,39.3%,3.6%,0,-,2017 Summer
AmazingJ, HK,38,34.2%,2.2,2.0,2.8,4.2,8.6,-,60.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Ambition, KR,62,72.6%,4.2,1.6,1.7,5.6,5.0,348,66.8%,12.6,249,-,0.89,0.37,0.27,67,8,144,30.6%,11.3%,0,5,2017 Summer
Anex, TW,51,56.9%,3.8,2.9,1.8,4.1,9.5,416,59.5%,27.2,503,-,0.43,0.34,0.09,-31,5,15,15.7%,7.8%,0,3,2017 Summer
Antariys,,4,0%,0.9,0.0,4.8,4.5,1.1,228,56.8%,5.9,107,-,1.42,0.3,0.35,-193,2,-660,0%,0%,0,-,2017 Summer
AoD,,11,36.4%,3,0.5,1.8,4.9,0.8,238,60.1%,6.5,127,-,1.79,0.27,0.64,-189,-3,-20,18.2%,0%,0,-,2017 Summer
Apex, TW,41,43.9%,3.6,3.0,2.3,5.3,9.0,395,71.9%,31,565,-,0.5,0.26,0.24,-91,-0,-59,22%,12.2%,1,11,2017 Summer
Aphromoo, US,65,56.9%,3.3,0.6,3.0,9.3,0.7,270,66.3%,7.1,140,-,1.27,0.33,0.41,-55,-4,23,32.3%,10.8%,0,1,2017 Summer
Apollo, US,52,44.2%,3.8,2.7,2.0,5.0,9.3,405,67.5%,25.7,481,-,0.44,0.29,0.17,304,11,205,25%,3.8%,0,3,2017 Summer
Archie, VN,14,50%,1.3,1.1,4.6,5.0,7.5,362,48.8%,19.5,367,-,0.48,0.11,0.1,-100,-2,-275,14.3%,21.4%,0,4,2017 Summer
Arin,,3,0%,0.5,0.0,4.0,2.0,6.7,297,64.8%,11.4,193,-,0.6,0.1,0.2,-489,-20,-186,66.7%,0%,0,-,2017 Summer
Armao, US,9,22.2%,1.6,1.4,3.8,4.4,4.1,320,61.3%,10.8,182,-,0.78,0.23,0.19,-163,0,126,44.4%,11.1%,0,-,2017 Summer
Arrow, KR,65,41.5%,4.1,3.0,2.1,5.6,8.4,389,69%,27,497,-,0.5,0.39,0.17,-143,-6,-216,9.2%,6.2%,0,3,2017 Summer
Athena, KR,38,34.2%,3.2,2.5,2.2,4.6,8.8,-,70.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Attila, PT,22,77.3%,10.1,4.0,0.8,3.8,10.5,468,71.9%,29.5,558,-,0.35,0.43,0.08,545,9,125,13.6%,4.5%,0,-,2017 Summer
Audi,,7,28.6%,2.6,2.9,2.6,3.9,8.7,324,68.6%,21.8,360,-,0.56,0.15,0.1,-993,-12,-594,0%,28.6%,0,-,2017 Summer
Avoidless,,9,22.2%,2.1,1.7,3.0,4.6,3.8,-,66.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
BANANAFISH,,4,50%,4.3,4.5,2.3,5.3,9.0,-,80.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
BIG, US,29,51.7%,2.2,0.8,3.4,6.8,0.6,253,65.8%,11.3,203,-,1.4,0.33,0.39,-309,-4,-81,20.7%,10.3%,0,1,2017 Summer
BOSS, RU,19,42.1%,2.9,3.3,2.8,4.7,7.9,372,65.3%,22.7,403,-,0.57,0.16,0.21,-73,-3,-59,42.1%,26.3%,0,4,2017 Summer
BRAIN,,5,40%,4.3,0.8,2.0,7.8,0.9,-,73.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Baiano,,24,37.5%,3.7,0.7,2.1,7.2,1.2,254,73.9%,8.2,163,-,1.15,0.34,0.26,-104,1,-36,20.8%,8.3%,0,-,2017 Summer
Balls,,51,41.2%,2.2,2.3,3.2,4.7,7.8,359,58.4%,20.5,396,-,0.45,0.09,0.06,-115,-2,-117,11.8%,21.6%,0,10,2017 Summer
Banana,,10,20%,1.5,2.2,3.5,3.2,8.0,-,55.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Bang, KR,77,62.3%,5,3.2,1.4,4.0,9.7,425,64.3%,30.1,565,-,0.43,0.21,0.06,31,2,88,24.7%,5.2%,0,4,2017 Summer
Barrett,,8,25%,2.6,3.1,2.9,4.3,8.2,-,71.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Bdd, KR,57,70.2%,10.4,4.0,1.0,6.4,9.1,421,76.9%,25.2,509,-,0.51,0.13,0.1,277,5,308,28.1%,1.8%,0,7,2017 Summer
Ben, KR,74,63.5%,4,0.5,2.3,8.8,0.9,327,72.9%,4.3,85,-,1.15,0.26,0.33,320,3,-17,5.4%,2.7%,0,-,2017 Summer
Ben4,,4,0%,1.5,1.0,2.5,2.8,5.1,-,62.5%,-,-,-,-,-,-,-,-,-,-,-,-,-,2017 Summer
Betsy,,33,42.4%,2.5,2.9,2.8,4.2,8.6,390,56.6%,29.4,525,-,0.47,0.18,0.15,-180,-5,-169,12.1%,6.1%,0,11,2017 Summer
Betty, TW,43,67.4%,6.7,3.7,1.3,5.0,10.0,452,68%,28.5,575,-,0.37,0.32,0.1,518,6,418,39.5%,2.3%,0,3,2017 Summer
Beyond, KR,50,32%,2.7,1.9,2.6,5.1,4.7,322,71.3%,13.5,234,-,0.92,0.39,0.25,31,11,305,30%,14%,0,2,2017 Summer
BigKoro, VN,7,28.6%,3.8,2.4,1.4,3.0,9.6,417,68.5%,27.7,455,-,0.48,0.19,0.14,259,4,382,42.9%,0%,0,-,2017 Summer
