"Tournament,Team1,Team2,WinTeam,LossTeam,Team1Players,Team2Players,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1Towers,Team2Towers,Team1RiftHeralds,Team2RiftHeralds,Team1Inhibitors,Team2Inhibitors,MatchHistory"
"""LVP SL 2022 Spring"",""BISONS ECLUB"",""Team Heretics"",""Team Heretics"",""BISONS ECLUB"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",3,4,0,3,6,10,0,2,0,2,"
"""LVP SL 2022 Spring"",""BISONS ECLUB"",""UCAM Tokiers"",""BISONS ECLUB"",""UCAM Tokiers"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",""Rubi0o,Boukada,Xaky,Afm,Homi"",2,2,1,0,10,1,1,1,2,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""BISONS ECLUB"",""BISONS ECLUB"",""Fnatic TQ"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",1,3,0,1,2,10,0,2,0,1,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""G2 Arctic"",""Fnatic TQ"",""G2 Arctic"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Color,Alexx,Fresskowy,Supa,Efias"",3,2,2,0,11,5,1,1,4,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""Giants (Spanish Team)"",""Fnatic TQ"",""Giants (Spanish Team)"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",3,0,1,0,10,0,2,0,2,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""KOI (Spanish Team)"",""Fnatic TQ"",""KOI (Spanish Team)"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",2,3,1,1,10,4,1,1,2,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""KOI (Spanish Team)"",""KOI (Spanish Team)"",""Fnatic TQ"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",1,3,1,0,5,8,1,1,0,1,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""MAD Lions Madrid"",""Fnatic TQ"",""MAD Lions Madrid"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",2,1,1,0,10,0,2,0,1,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""MAD Lions Madrid"",""Fnatic TQ"",""MAD Lions Madrid"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",0,2,1,0,9,4,2,0,1,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""Movistar Riders"",""Fnatic TQ"",""Movistar Riders"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",2,3,2,0,10,3,0,2,2,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""Movistar Riders"",""Fnatic TQ"",""Movistar Riders"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",5,0,1,0,9,0,1,1,1,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""Team Heretics"",""Fnatic TQ"",""Team Heretics"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",1,2,1,0,10,2,1,1,2,0,"
"""LVP SL 2022 Spring"",""Fnatic TQ"",""UCAM Tokiers"",""Fnatic TQ"",""UCAM Tokiers"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",""Rubi0o,Nji,Xaky,Afm,Homi"",3,1,1,0,10,1,2,0,1,0,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""Barça eSports"",""Barça eSports"",""G2 Arctic"",""Color,Alexx,Fresskowy,Supa,Efias"",""Dreedy,LeBron,twohoyrz,Deadly,Lucky (Luca Santos)"",3,3,0,1,3,11,2,0,0,3,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""BISONS ECLUB"",""BISONS ECLUB"",""G2 Arctic"",""Color,Alexx,Fresskowy,Supa,Efias"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",1,4,0,1,4,10,2,0,0,1,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""Fnatic TQ"",""Fnatic TQ"",""G2 Arctic"",""Color,Alexx,Fresskowy,Supa,Efias"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",1,4,0,2,3,9,2,0,0,1,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""Giants (Spanish Team)"",""Giants (Spanish Team)"",""G2 Arctic"",""Color,Alexx,Fresskowy,Supa,Efias"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",1,4,0,2,2,11,1,1,0,4,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""KOI (Spanish Team)"",""G2 Arctic"",""KOI (Spanish Team)"",""Color,Alexx,Fresskowy,Supa,Efias"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",5,1,0,2,8,8,1,1,1,2,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""MAD Lions Madrid"",""MAD Lions Madrid"",""G2 Arctic"",""Color,Alexx,Fresskowy,Supa,Efias"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",5,1,1,1,8,7,1,1,1,2,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""Movistar Riders"",""G2 Arctic"",""Movistar Riders"",""Color,Alexx,Fresskowy,Supa,Efias"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",2,0,1,0,10,2,2,0,2,0,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""Team Heretics"",""G2 Arctic"",""Team Heretics"",""Color,Alexx,Fresskowy,Supa,Efias"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",4,0,1,0,10,1,2,0,2,0,"
"""LVP SL 2022 Spring"",""G2 Arctic"",""UCAM Tokiers"",""G2 Arctic"",""UCAM Tokiers"",""Color,Alexx,Fresskowy,Supa,Efias"",""Rubi0o,Nji,Xaky,Afm,Homi"",2,1,0,1,11,0,2,0,3,0,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""Barça eSports"",""Barça eSports"",""Giants (Spanish Team)"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Dreedy,LeBron,twohoyrz,Deadly,Lucky (Luca Santos)"",1,4,0,2,2,10,1,1,0,2,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""BISONS ECLUB"",""Giants (Spanish Team)"",""BISONS ECLUB"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",3,1,1,0,9,3,2,0,1,0,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""Fnatic TQ"",""Fnatic TQ"",""Giants (Spanish Team)"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Oscarinin,MAXI,Baca,BEAN,Rhuckz"",1,2,0,1,0,11,1,1,0,3,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""G2 Arctic"",""G2 Arctic"",""Giants (Spanish Team)"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Color,Alexx,Fresskowy,Supa,Efias"",1,3,0,1,1,9,1,1,0,1,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""KOI (Spanish Team)"",""KOI (Spanish Team)"",""Giants (Spanish Team)"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",0,4,0,1,2,9,1,1,0,1,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""MAD Lions Madrid"",""Giants (Spanish Team)"",""MAD Lions Madrid"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",2,0,1,0,10,1,2,0,2,0,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""Movistar Riders"",""Movistar Riders"",""Giants (Spanish Team)"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",2,3,0,1,3,11,2,0,0,3,"
