Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
0909, CN,3,33.3%,2.7,1.7,2.3,4.7,7.9,354,83.1%,19.6,293,-,-,-,-,-,-,-,-,-,-,-,2022 Summer
113, TR,22,45.5%,1.9,1.8,4.4,6.4,4.6,298,64.6%,12.4,288,1.3,0.31,0.34,0.28,-240,-8,-285,18.2%,18.2%,0,2,2022 Summer
150, TR,10,10%,1.6,0.7,5.9,9.0,0.9,223,70.7%,7.3,154,2.2,1.42,0.26,0.51,12,0,-304,40%,20%,0,-,2022 Summer
1SSUE, TW,21,28.6%,2.2,0.3,3.3,6.9,1.4,229,69.3%,7.7,146,2.36,1.32,0.28,0.42,-14,2,3,23.8%,0%,0,-,2022 Summer
2T, VN,13,15.4%,1.2,2.3,4.9,3.4,8.0,373,43.3%,26.9,547,0.94,0.48,0.14,0.25,-324,-1,-206,23.1%,7.7%,0,6,2022 Summer
369, CN,69,71%,3.4,3.1,2.9,7.0,8.1,413,62.5%,24.8,601,0.98,0.38,0.22,0.17,703,15,429,4.3%,4.3%,0,10,2022 Summer
5Kid, KR,30,50%,3.2,4.1,2.8,5.1,9.9,443,69.2%,30.7,682,1.34,0.51,0.4,0.19,178,15,241,30%,10%,1,7,2022 Summer
665, TW,18,27.8%,1.8,2.0,3.8,4.6,4.6,297,70.6%,11.5,198,1.3,0.31,0.38,0.37,-542,-3,-383,33.3%,16.7%,0,4,2022 Summer
6ax, BG,14,50%,3.3,2.2,2.9,7.1,7.1,346,58%,19.8,407,1.05,0.49,0.15,0.2,-530,-18,-260,14.3%,21.4%,0,4,2022 Summer
ACD, EE,27,66.7%,3.1,4.4,3.3,5.9,8.3,441,64.7%,27.3,686,1.07,0.41,0.21,0.09,468,10,370,18.5%,29.6%,0,28,2022 Summer
ADD, KR,36,55.6%,2.8,2.4,3.4,6.9,7.5,377,63.3%,24.9,554,1.25,0.47,0.22,0.18,33,-2,-194,36.1%,8.3%,0,8,2022 Summer
AHaHaCiK, RU,26,65.4%,5.3,3.2,2.0,7.3,5.6,357,75.5%,16.0,355,1.32,0.3,0.29,0.25,207,3,210,42.3%,7.7%,0,6,2022 Summer
AKi, CN,48,47.9%,2.9,2.0,2.7,6.0,5.1,320,65%,11.6,238,-,-,-,-,-,-,-,-,-,-,-,2022 Summer
APA, US,3,33.3%,5.4,4.0,1.7,5.0,8.0,421,86.6%,42.8,816,0.82,0.4,0.11,0.01,-246,-16,-448,33.3%,0%,0,-,2022 Summer
Abagnale, TR,18,44.4%,2.3,0.3,4.2,9.4,1.0,224,81.9%,8.2,157,2.79,1.73,0.31,0.46,31,5,130,44.4%,11.1%,0,-,2022 Summer
Abbedagge, DE,41,53.7%,3.7,2.8,2.3,5.6,8.7,396,63.8%,27.3,534,1.19,0.48,0.26,0.22,-66,-2,-95,31.7%,9.8%,0,1,2022 Summer
Ablazeolive, CA,25,36%,2.6,2.8,3.2,5.5,8.4,389,69.2%,28.1,607,1.13,0.42,0.26,0.17,-111,2,-28,12%,12%,0,5,2022 Summer
Able, CN,48,47.9%,3.5,4.1,2.5,4.4,9.2,443,68.7%,25.9,530,-,-,-,-,0,0,0,-,-,-,-,2022 Summer
Abner, ES,8,37.5%,2.9,3.9,3.0,4.9,8.4,403,72.6%,22.9,528,0.97,0.35,0.21,0.09,-656,-4,-467,12.5%,0%,0,-,2022 Summer
Absolute, TR,15,40%,2.8,0.7,3.1,8.2,1.3,239,71.5%,7.7,161,2.35,1.43,0.28,0.43,27,2,-74,26.7%,20%,0,-,2022 Summer
Acce, AR,26,73.1%,5.3,2.3,2.0,8.4,7.6,381,55.4%,18.8,460,0.88,0.35,0.19,0.2,92,-3,79,19.2%,15.4%,0,7,2022 Summer
Achilles, BE,14,35.7%,2.3,2.3,3.1,4.9,7.9,368,55.2%,16.4,361,0.74,0.25,0.09,0.06,-482,-12,-265,21.4%,0%,0,6,2022 Summer
Achuu, DK,16,18.8%,2.9,3.4,2.6,4.1,8.1,389,68.5%,29.0,591,1.17,0.45,0.25,0.18,-13,-9,-273,43.8%,6.3%,0,3,2022 Summer
Ackerman, AR,21,57.1%,5,0.9,2.0,9.4,1.3,251,81.8%,10.9,215,2.91,1.67,0.43,0.46,176,-4,266,42.9%,14.3%,0,1,2022 Summer
Adam, FR,43,67.4%,3.2,3.9,2.6,4.4,8.6,431,55.3%,22.7,547,0.95,0.42,0.19,0.15,497,10,226,16.3%,18.6%,1,22,2022 Summer
Adept, SE,18,33.3%,2.7,0.8,3.5,8.4,1.0,230,73.3%,8.2,162,2.25,1.32,0.26,0.33,14,9,44,33.3%,11.1%,0,-,2022 Summer
Adison, PL,26,46.2%,2.5,2.9,3.1,4.8,8.6,419,67.3%,27.2,504,1.08,0.39,0.3,0.09,321,6,90,15.4%,7.7%,0,2,2022 Summer
Adiss, CZ,36,66.7%,3.4,1.8,2.5,6.7,7.1,367,51.6%,20.0,471,0.77,0.31,0.12,0.11,-245,-10,-131,13.9%,2.8%,0,5,2022 Summer
Advienne, NL,34,58.8%,3.9,0.7,2.4,8.8,0.7,232,68.7%,7.2,150,2.74,1.61,0.33,0.53,-126,-7,-352,32.4%,8.8%,0,1,2022 Summer
Aegis, BR,31,61.3%,3.8,3.3,2.8,7.4,6.2,362,66.6%,12.7,286,1.1,0.32,0.26,0.29,262,8,349,35.5%,0%,0,1,2022 Summer
Aetinoth, TR,11,45.5%,5,4.6,2.0,5.5,9.4,460,70.2%,27.4,559,0.93,0.38,0.23,0.07,554,5,201,45.5%,0%,0,-,2022 Summer
