Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
0bsess, DE,12,33.3%,2.1,2.1,3.4,5.3,4.6,307,72.2%,15.3,257,1.5,0.75,0.33,0.31,191,6,232,50%,8.3%,0,1,2018 Spring
1an, MX,20,40%,4.0,2.9,2.2,5.7,9.8,416,68.8%,29.7,586,1.32,0.44,0.31,0.12,309,10,131,10%,5%,0,2,2018 Spring
3z, TW,37,51.4%,2.8,1.7,1.9,3.7,9.1,404,53.8%,24.8,490,1.05,0.51,0.15,0.08,117,-1,-23,10.8%,16.2%,0,11,2018 Spring
4LaN, BR,14,21.4%,1.8,1.0,3.1,4.6,5.0,303,63.5%,11.1,212,2.22,1.12,0.38,0.36,17,3,20,28.6%,0%,0,-,2018 Spring
957, CN,51,49%,4.2,1.5,1.6,5.3,8.5,386,58%,21.9,382,-,0.57,0.16,0.09,-,-,-,-,-,0,-,2018 Spring
ADD, KR,52,36.5%,2.0,1.2,2.4,3.7,8.9,388,60.3%,26.9,497,1.5,0.79,0.23,0.22,51,-5,-172,19.2%,21.2%,0,9,2018 Spring
AHaHaCiK, RU,8,50%,2.8,1.3,2.3,5.0,4.6,296,71.8%,10.9,217,2.28,1.3,0.36,0.34,-288,-3,-678,12.5%,37.5%,0,-,2018 Spring
ALL IN, KR,6,33.3%,2.5,1.8,2.2,3.5,9.8,383,67.7%,32.9,444,1,0.66,0.2,0.3,-1,8,329,0%,0%,0,1,2018 Spring
Ablazeolive, CA,18,44.4%,2.6,2.6,2.7,4.4,9.7,403,69.6%,28.1,601,1.19,0.54,0.29,0.2,6,4,-5,27.8%,22.2%,0,2,2018 Spring
Able, CN,10,50%,5.4,2.0,1.4,5.6,10.6,445,61.3%,23.4,389,-,0.35,0.49,0.03,-,-,-,-,-,0,-,2018 Spring
Absolut, BR,17,35.3%,4.8,3.6,1.6,4.4,9.7,422,69.7%,32.3,675,1.02,0.49,0.23,0.14,-361,-9,-21,17.6%,5.9%,0,-,2018 Spring
Acce, AR,30,50%,3.6,2.1,1.9,4.7,8.9,396,56.4%,21.9,428,1.05,0.57,0.17,0.13,328,11,351,26.7%,6.7%,0,7,2018 Spring
Ace, KR,13,38.5%,3.9,2.5,1.9,4.9,8.9,384,75.3%,25,455,1.07,0.63,0.18,0.2,-422,-4,-130,15.4%,0%,0,2,2018 Spring
Acerola, CR,8,50%,2.9,1.1,2.3,5.4,4.7,296,76.9%,10.9,176,2.8,1.59,0.48,0.4,-425,-4,-76,12.5%,25%,0,-,2018 Spring
Achuu, DK,28,39.3%,3.4,3.4,2.2,4.1,9.7,416,76.4%,35.1,653,1.13,0.4,0.32,0.11,-402,-4,-84,21.4%,14.3%,0,5,2018 Spring
Adrian, US,25,68%,3.7,0.3,2.3,8.2,1.7,254,61.9%,7.5,152,2.47,1.52,0.28,0.42,-127,1,-66,8%,4%,0,-,2018 Spring
Aegis, KR,1,0%,5.0,0.0,2.0,10.0,1.7,218,90.9%,6.4,104,1.86,1.23,0.2,0.5,-366,15,-424,0%,0%,0,-,2018 Spring
Aesthetic, SE,5,20%,4.6,3.8,2.0,5.4,5.2,324,84.6%,19.2,404,2.01,1.16,0.36,0.31,326,3,528,20%,0%,0,6,2018 Spring
Agonistic, MX,20,40%,2.5,1.9,3.6,7.0,4.8,312,72.1%,10.6,210,2.35,1.2,0.43,0.33,-215,-4,-602,50%,15%,0,2,2018 Spring
