hist_id,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team,Player
6121,Sweden,32,62.5,2.9,3.1,2.9,5.3,7.4,385.0,55.0,24.3,524.0,1.14,0.43,0.17,0.22,90.0,5.0,224.0,21.9,21.9,0.0,10.0,4,,3565
6122,France,37,62.2,3.0,0.9,3.6,10.1,1.3,244.0,67.7,7.4,158.0,3.07,1.65,0.49,0.47,3.0,3.0,-75.0,10.8,16.2,0.0,,4,,3566
6123,Brasil,18,27.8,2.3,2.9,3.6,5.2,6.0,337.0,64.8,18.7,353.0,1.27,0.4,0.32,0.29,-124.0,-0.0,-84.0,33.3,11.1,0.0,3.0,4,,3570
6124,USA,30,36.7,3.4,3.2,2.4,4.9,9.0,402.0,59.9,24.7,486.0,1.24,0.37,0.37,0.13,-289.0,-6.0,-82.0,16.7,10.0,0.0,,4,,3572
6125,Netherlands,18,66.7,3.3,1.9,3.3,9.1,1.9,278.0,59.1,11.5,240.0,2.66,1.3,0.44,0.33,207.0,-0.0,175.0,27.8,5.6,0.0,1.0,4,,3575
6126,France,18,44.4,3.3,3.4,3.1,6.5,5.5,341.0,69.0,18.9,366.0,1.37,0.36,0.37,0.34,81.0,1.0,149.0,55.6,5.6,0.0,3.0,4,,3578
6127,Ecuador,18,55.6,2.5,2.0,2.9,5.4,6.8,346.0,48.9,20.1,378.0,0.93,0.46,0.19,0.22,-351.0,-1.0,-251.0,5.6,0.0,0.0,6.0,4,,3579
6128,Czech Republic,21,38.1,3.1,3.4,2.8,5.2,7.8,376.0,66.9,25.2,475.0,0.97,0.39,0.19,0.17,-485.0,-8.0,-368.0,23.8,9.5,0.0,1.0,4,,3580
6129,Czech Republic,4,75.0,7.7,4.8,1.5,6.8,9.9,473.0,72.3,25.9,506.0,1.05,0.32,0.3,0.08,770.0,10.0,368.0,50.0,0.0,0.0,,4,,3583
6130,South Korea,5,20.0,2.4,2.6,2.6,3.6,8.5,389.0,54.7,23.6,459.0,1.12,0.49,0.28,0.12,-103.0,2.0,92.0,20.0,0.0,0.0,,4,,3584
6131,Vietnam,18,72.2,4.4,5.6,2.8,6.7,9.0,462.0,60.8,23.8,565.0,1.6,0.63,0.39,0.18,441.0,4.0,308.0,16.7,11.1,0.0,4.0,4,,3587
6132,Australia,21,33.3,3.6,3.8,2.6,5.6,8.2,392.0,62.0,25.3,547.0,1.08,0.44,0.23,0.16,-309.0,-7.0,-146.0,19.0,4.8,0.0,1.0,4,,3588
6133,Estonia,7,42.9,2.3,0.3,4.0,8.9,1.1,225.0,59.5,6.2,122.0,2.02,1.13,0.25,0.36,-555.0,-2.0,-388.0,14.3,0.0,0.0,,4,,3592
6134,South Korea,54,50.0,2.1,2.5,3.2,4.3,8.5,393.0,62.4,27.8,483.0,1.18,0.37,0.34,0.2,246.0,7.0,155.0,24.1,9.3,0.0,21.0,4,,3596
6135,Spain,23,65.2,3.2,4.3,3.2,5.8,8.2,407.0,60.2,27.2,628.0,1.39,0.48,0.39,0.15,9.0,3.0,259.0,26.1,4.3,0.0,6.0,4,10,3603
6136,Germany,18,27.8,1.7,1.7,4.1,5.1,7.2,350.0,60.8,21.5,414.0,0.89,0.35,0.15,0.17,-104.0,6.0,-126.0,11.1,27.8,0.0,8.0,4,,3609
6137,Denmark,25,56.0,2.8,2.5,3.0,5.9,5.8,343.0,60.5,16.4,338.0,1.56,0.35,0.4,0.28,139.0,1.0,-74.0,32.0,20.0,0.0,4.0,4,,3610
6138,Australia,24,58.3,3.2,4.7,3.5,6.7,6.9,395.0,67.5,21.0,466.0,1.16,0.24,0.25,0.19,402.0,12.0,567.0,54.2,12.5,0.0,9.0,4,,3613
6139,USA,18,38.9,3.0,3.0,3.3,6.8,7.0,355.0,67.4,19.7,367.0,1.03,0.51,0.16,0.29,-596.0,-16.0,-592.0,27.8,11.1,0.0,3.0,4,,3620
6140,Taiwan,40,60.0,2.9,0.7,2.8,7.4,1.5,239.0,66.1,7.2,137.0,2.82,1.59,0.41,0.46,-70.0,-4.0,-124.0,22.5,7.5,0.0,1.0,4,,3621
6141,Australia,19,36.8,2.1,2.6,5.0,7.7,5.4,329.0,68.3,18.8,408.0,1.56,0.51,0.36,0.28,-593.0,-9.0,-264.0,26.3,15.8,0.0,4.0,4,,3624
6142,South Korea,5,60.0,2.3,2.0,2.4,3.6,5.6,319.0,61.7,13.2,211.0,1.36,0.37,0.34,0.38,-227.0,-7.0,-353.0,0.0,0.0,0.0,,4,,3626
6143,Portugal,12,33.3,2.0,2.8,3.9,5.2,7.7,354.0,59.5,24.4,443.0,0.9,0.31,0.2,0.14,-705.0,-9.0,-466.0,8.3,16.7,0.0,5.0,4,,3629
6144,Poland,1,0.0,,0.0,0.0,0.0,7.4,292.0,0.0,11.6,86.0,0.73,0.37,0.05,0.16,-2715.0,-41.0,-1173.0,0.0,0.0,0.0,,4,,3632
6145,Denmark,23,56.5,3.5,2.0,2.6,6.9,7.7,374.0,60.2,20.9,437.0,1.16,0.47,0.21,0.18,86.0,10.0,324.0,17.4,4.3,0.0,4.0,4,,3633
6146,Serbia and Montenegro,20,60.0,4.5,0.9,2.6,10.7,0.9,242.0,71.8,10.3,200.0,2.97,1.57,0.45,0.3,-23.0,-8.0,91.0,20.0,0.0,0.0,2.0,4,,3638
6147,South Korea,19,21.1,1.7,2.9,4.4,4.6,7.1,362.0,61.3,22.2,438.0,0.78,0.33,0.13,0.12,-303.0,-3.0,-291.0,15.8,10.5,0.0,8.0,4,,3641
6148,South Korea,20,45.0,2.7,2.9,3.0,5.0,8.0,391.0,61.8,22.6,403.0,1.13,0.43,0.21,0.19,178.0,-1.0,-55.0,30.0,15.0,0.0,4.0,4,,3646
6149,Brasil,18,16.7,2.8,3.4,2.5,3.7,8.8,402.0,67.5,28.1,490.0,1.53,0.69,0.41,0.28,202.0,5.0,110.0,11.1,5.6,0.0,2.0,4,,3647
6150,Italy,10,40.0,5.0,4.4,1.8,4.6,9.1,434.0,65.4,35.2,689.0,1.35,0.62,0.27,0.15,930.0,15.0,818.0,20.0,10.0,0.0,2.0,4,,3648
