Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Wei, CN,58,62.1%,4,3.9,2.7,7.1,5.5,359,71.4%,17.7,369,1.67,0.57,0.44,0.42,-160,-6,-289,6.9%,1.7%,0,-,2021 Summer
WeiWei, CN,44,54.5%,3.3,3.3,2.9,6.3,5.9,356,70.2%,17.7,350,-,0.56,0.43,0.36,-,-,-,-,-,1,-,2021 Summer
Weizor, SE,27,63%,2,1.6,4.2,7.0,6.5,346,57.7%,21.7,473,1.03,0.52,0.15,0.31,-322,-9,-178,18.5%,25.9%,0,10,2021 Summer
Welcom, CZ,33,66.7%,2.7,3.4,3.5,6.1,7.1,383,52.4%,26.1,536,1.08,0.4,0.13,0.14,80,3,223,15.2%,15.2%,0,18,2021 Summer
Wen, TW,1,0%,1.8,4.0,4.0,3.0,5.9,322,46.7%,12.4,312,0.77,0.68,0.05,0.41,-992,-35,-614,0%,0%,0,-,2021 Summer
Wenbo, DE,22,45.5%,2.5,4.2,4.1,5.9,8.8,420,59.9%,25.2,534,1.51,0.56,0.36,0.08,-680,-2,33,9.1%,18.2%,0,1,2021 Summer
Wendel, DK,16,50%,2.8,1.3,3.9,9.8,1.4,261,70.3%,9.3,199,2.28,1.17,0.31,0.34,108,-1,166,37.5%,18.8%,0,1,2021 Summer
Whiteknight, FI,18,38.9%,3.6,3.3,2.3,5.0,7.7,379,70.2%,22.4,420,1.05,0.47,0.17,0.2,-118,-5,61,16.7%,11.1%,0,-,2021 Summer
Whitelotus, AR,23,56.5%,4,3.6,2.0,4.7,9.4,421,58.9%,24.5,481,1.47,0.68,0.34,0.17,-193,0,-92,21.7%,8.7%,0,1,2021 Summer
Whynot, NZ,2,0%,0.9,4.0,6.0,1.5,5.9,345,63.8%,21.5,443,0.99,0.14,0.32,0.18,302,4,312,50%,0%,0,-,2021 Summer
WidowMaker, ES,19,42.1%,3.2,2.2,3.1,7.5,5.5,332,74.2%,20.9,412,1.3,0.37,0.28,0.29,-158,-7,-142,36.8%,21.1%,0,2,2021 Summer
WildStars, DK,2,0%,1.2,1.0,5.5,5.5,4.3,280,68.9%,15.1,322,0.75,0.21,0.17,0.15,-1728,-25,-1896,0%,50%,0,-,2021 Summer
WildTurtle, CA,27,25.9%,3,2.6,2.3,4.3,9.6,412,66.8%,27.5,466,1.39,0.62,0.31,0.16,-14,2,33,11.1%,11.1%,0,3,2021 Summer
Will, US,35,42.9%,2.7,3.2,3.5,6.3,6.1,351,68.6%,18.9,387,1.26,0.38,0.27,0.33,-88,1,100,28.6%,20%,0,2,2021 Summer
Willer, KR,55,52.7%,3.7,3.2,2.4,5.8,5.7,340,69%,14.8,279,1.63,0.53,0.4,0.45,-134,0,-59,30.9%,5.5%,0,3,2021 Summer
Wink, CN,33,39.4%,2.7,2.9,2.9,5.0,9.1,419,59%,26.1,520,-,0.69,0.34,0.17,-,-,-,-,-,0,-,2021 Summer
Winter, CA,9,55.6%,3.1,0.6,3.4,10.2,1.0,229,67.8%,6.0,122,2.82,1.5,0.44,0.49,-30,-2,-241,11.1%,22.2%,0,-,2021 Summer
Winter 7, KR,11,18.2%,2.1,3.4,4.3,5.5,5.3,325,81.3%,22.2,432,1.07,0.37,0.23,0.33,-177,0,-14,18.2%,9.1%,0,2,2021 Summer
Wixo, FR,16,43.8%,2.2,0.9,4.3,8.6,1.0,226,65.2%,7.7,151,2.5,1.6,0.31,0.57,-63,-2,206,31.3%,18.8%,0,2,2021 Summer
Wixxi, US,7,28.6%,3.6,3.0,2.4,5.9,8.2,376,64.6%,28.9,533,0.86,0.31,0.25,0.1,-538,-16,-543,0%,14.3%,0,-,2021 Summer
Wizer, KR,18,38.9%,2.4,2.7,3.5,5.8,7.5,370,65.2%,24.0,482,1.17,0.46,0.24,0.24,-78,5,-155,22.2%,11.1%,0,3,2021 Summer
Wojtus, PL,21,57.1%,2.3,0.6,4.4,9.6,1.2,242,63.1%,7.0,146,2.78,1.59,0.37,0.49,214,4,249,23.8%,9.5%,0,-,2021 Summer
Wojux, PL,15,33.3%,3.7,2.9,2.3,5.7,7.9,366,78.7%,25.8,431,0.87,0.45,0.14,0.19,-132,-6,15,13.3%,20%,0,6,2021 Summer
Wondro, SK,14,71.4%,5.5,3.9,1.8,5.9,8.8,445,58.4%,22.7,491,0.92,0.36,0.17,0.11,751,20,459,28.6%,7.1%,0,5,2021 Summer
Woodboy, BR,21,47.6%,3.9,0.7,2.3,8.1,1.2,232,69.8%,7.5,131,2.56,1.36,0.39,0.5,-168,1,-35,23.8%,4.8%,0,-,2021 Summer
Woody, TW,32,50%,2.9,0.6,3.4,9.2,1.2,239,67.2%,6.8,139,2.65,1.57,0.38,0.48,51,-0,-117,34.4%,3.1%,0,-,2021 Summer
Woolite, PL,48,66.7%,4.6,4.8,2.4,6.1,9.2,448,64.2%,28.8,619,1.2,0.42,0.32,0.14,598,8,148,33.3%,10.4%,0,10,2021 Summer
Wos, BR,22,59.1%,4.2,0.6,2.7,10.8,1.4,245,68.7%,7.4,158,2.54,1.54,0.31,0.5,105,-4,291,31.8%,4.5%,0,-,2021 Summer
WouLou, GR,16,56.3%,3.1,2.2,2.8,6.6,6.6,351,58%,24.4,498,0.99,0.41,0.23,0.15,-34,-0,84,37.5%,12.5%,0,3,2021 Summer
Wunder, DK,27,55.6%,2.5,2.6,3.0,4.7,8.2,389,49.6%,24.2,474,0.95,0.49,0.14,0.17,-298,1,-189,0%,14.8%,0,7,2021 Summer
Wydz, FR,2,50%,1.4,0.5,5.5,7.0,1.3,236,60.3%,10.7,178,2.18,1.07,0.37,0.22,-672,-6,-279,0%,0%,0,-,2021 Summer
