Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
1an, MX,17,29.4%,2.5,2.9,2.9,4.4,9.4,399,75.5%,29.4,468,1.16,0.39,0.24,0.11,-40,-3,74,23.5%,5.9%,0,1,2018 Summer
3z, TW,31,35.5%,1.8,1.5,2.4,2.9,8.5,366,56.2%,21.8,347,1.18,0.47,0.2,0.15,-161,3,-6,22.6%,6.5%,0,1,2018 Summer
404, MY,6,16.7%,3,1.3,4.2,11.3,1.6,244,61.8%,10.4,197,2.25,1.26,0.28,0.46,-112,-4,134,33.3%,16.7%,0,-,2018 Summer
957, CN,48,39.6%,2.8,1.5,2.2,4.6,8.3,364,59.3%,19.5,352,-,0.47,0.13,0.14,-,-,-,-,-,0,-,2018 Summer
ADD, KR,44,27.3%,1.9,1.1,2.4,3.6,8.8,365,62.1%,24.7,411,1.3,0.52,0.2,0.17,-235,-5,-192,20.5%,18.2%,0,2,2018 Summer
AHaHaCiK, RU,23,56.5%,3.4,2.0,2.6,6.9,5.6,338,66.4%,16.8,323,1.4,0.48,0.3,0.31,-156,-0,-244,30.4%,13%,0,5,2018 Summer
Abbedagge, DE,41,75.6%,5.2,3.6,1.9,6.5,8.6,405,63%,24.4,535,1.24,0.5,0.22,0.23,233,9,326,9.8%,9.8%,0,20,2018 Summer
Ablazeolive, CA,18,38.9%,2.4,2.1,2.4,3.7,8.5,364,61.2%,27.5,409,0.89,0.37,0.16,0.16,-427,-10,-362,27.8%,5.6%,0,5,2018 Summer
Able, CN,14,78.6%,5.9,4.3,1.7,5.8,9.7,450,63.3%,27.3,545,-,0.31,0.42,0.08,-,-,-,-,-,0,-,2018 Summer
Absolut, BR,13,30.8%,2.3,2.4,2.7,3.8,8.9,386,66.4%,28.2,430,0.99,0.41,0.19,0.16,-143,0,-38,7.7%,23.1%,0,2,2018 Summer
Acce, AR,27,51.9%,3.2,2.3,2.0,4.2,9.3,407,55.9%,23.7,385,1.03,0.45,0.11,0.17,465,13,343,22.2%,14.8%,0,11,2018 Summer
Adrian, US,16,31.3%,2.5,0.6,2.6,6.0,1.8,246,62.4%,8.6,147,2.49,1.34,0.3,0.3,38,2,69,37.5%,0%,0,-,2018 Summer
Aesthetic, SE,33,54.5%,3.1,2.3,2.8,6.5,5.4,344,69.6%,13.4,267,1.66,0.63,0.35,0.33,-53,5,226,30.3%,12.1%,1,2,2018 Summer
Afm, PT,4,75%,5.1,6.0,2.3,5.5,9.4,463,75.6%,28.9,650,1.54,0.34,0.43,0.14,704,14,141,0%,0%,0,-,2018 Summer
Agonistic, MX,17,29.4%,1.9,1.6,3.6,5.0,5.1,308,68.4%,13.7,221,1.61,0.56,0.38,0.29,-766,-31,-966,35.3%,17.6%,0,1,2018 Summer
Agresivoo, PL,9,66.7%,6.3,2.8,1.8,8.3,8.8,392,76.5%,20.4,421,1.05,0.45,0.16,0.11,184,10,380,33.3%,0%,0,1,2018 Summer
Agurin, DE,8,62.5%,2.2,2.0,3.4,5.5,6.3,370,66.7%,16.5,371,1.93,0.53,0.53,0.22,437,21,828,37.5%,12.5%,0,3,2018 Summer
Aiming, KR,38,57.9%,4.8,2.7,1.5,4.6,9.8,425,68.9%,25.4,414,1.41,0.59,0.34,0.19,58,-0,-32,26.3%,7.9%,0,3,2018 Summer
Akaadian, US,17,58.8%,2.9,1.4,2.1,4.5,5.3,324,57%,11.9,216,1.58,0.43,0.46,0.32,-418,-24,-329,35.3%,17.6%,0,-,2018 Summer
