Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
1116, TW,24,62.5%,3.2,3.5,3.2,6.6,8.5,392,67.5%,27.8,529,1.11,0.53,0.2,0.23,16,4,-29,8.3%,12.5%,0,3,2021 Spring
1roNN, RS,4,0%,1.2,0.3,3.5,4.0,1.3,203,77.3%,6.7,97,2.7,1.74,0.41,0.55,-680,0,-202,0%,25%,0,-,2021 Spring
2Cups, MK,18,50%,3.5,2.9,2.6,5.9,8.3,390,64.6%,23.7,439,1.01,0.46,0.12,0.22,-311,-2,-180,5.6%,5.6%,0,1,2021 Spring
369, CN,44,68.2%,3.9,3.3,2.4,6.2,8.1,413,58.8%,25.5,560,0.97,0.38,0.21,0.14,618,10,411,11.4%,15.9%,0,18,2021 Spring
3z, TW,19,26.3%,1.5,1.7,3.3,3.2,7.5,343,51.2%,24.3,364,1.08,0.48,0.24,0.21,-412,-2,-191,10.5%,15.8%,0,2,2021 Spring
5Kid, KR,14,42.9%,5.2,4.6,2.0,5.7,9.8,440,72.4%,27.2,507,1.2,0.44,0.38,0.15,287,9,183,28.6%,0%,1,1,2021 Spring
5fire, US,17,76.5%,3.8,3.9,2.6,6.2,7.8,408,66.6%,28.0,588,0.97,0.27,0.23,0.14,569,-3,172,23.5%,5.9%,0,8,2021 Spring
6ax, BG,4,0%,1.7,3.5,3.8,3.0,8.5,371,69%,34.8,506,0.97,0.46,0.13,0.19,-428,-2,-342,50%,25%,0,-,2021 Spring
ACD, EE,18,16.7%,1.4,1.9,3.5,3.0,7.8,370,62.6%,32.0,549,0.82,0.38,0.13,0.12,-177,-1,-165,16.7%,33.3%,0,12,2021 Spring
AHaHaCiK, RU,32,56.3%,3.5,2.6,2.8,7.2,6.2,344,68%,17.8,335,1.21,0.22,0.32,0.18,-73,1,34,50%,3.1%,0,5,2021 Spring
AKi, CN,39,28.2%,2.7,2.3,2.6,4.9,6.1,328,72.9%,16.3,284,1.41,0.41,0.37,0.27,-484,-6,-488,23.1%,2.6%,0,2,2021 Spring
APA, US,6,33.3%,2.1,2.7,3.8,5.3,9.0,384,72.2%,30.9,534,1.06,0.46,0.18,0.12,-459,0,-69,0%,0%,0,-,2021 Spring
Abbedagge, DE,30,50%,4,3.3,2.1,5.1,9.4,415,64%,27.4,487,1.22,0.51,0.23,0.21,-10,-1,-31,20%,3.3%,0,8,2021 Spring
Ablazeolive, CA,24,16.7%,1.7,2.2,3.3,3.5,8.4,365,72.5%,27.5,469,1.02,0.42,0.23,0.18,45,0,-117,25%,0%,0,3,2021 Spring
Aboekra, NL,10,0%,1,1.5,4.2,2.5,7.3,341,42.4%,21.6,378,0.81,0.39,0.15,0.11,-878,-15,-656,30%,10%,0,2,2021 Spring
Absolut, BR,23,65.2%,6,3.7,1.5,5.4,8.2,403,61.7%,23.5,457,1.16,0.56,0.27,0.25,-53,-3,57,21.7%,0%,0,-,2021 Spring
Absolute, TR,22,72.7%,3.8,0.8,3.2,11.5,1.4,242,68.2%,7.9,144,1.91,1.0,0.21,0.31,-118,-3,-34,40.9%,27.3%,0,-,2021 Spring
Acce, AR,18,50%,2.4,2.0,2.8,4.7,7.3,354,51.1%,17.5,336,1.02,0.37,0.23,0.21,-154,-9,-15,16.7%,16.7%,0,3,2021 Spring
Acee, JP,32,56.3%,5.6,2.3,1.7,7.3,7.7,370,76.3%,22.5,412,1.07,0.47,0.2,0.22,-270,-11,-369,28.1%,0%,0,3,2021 Spring
Achuu, DK,16,43.8%,5.1,4.1,1.8,5.1,9.4,434,70.3%,30.2,568,1.36,0.43,0.27,0.15,-42,6,116,18.8%,6.3%,0,3,2021 Spring
Ackerman, AR,33,57.6%,5.9,1.0,1.7,8.9,1.7,248,70.5%,8.8,159,2.8,1.49,0.43,0.44,106,-5,208,30.3%,9.1%,0,-,2021 Spring
Adam, FR,38,78.9%,3.7,4.5,3.0,6.5,7.8,417,60.5%,23.1,509,0.86,0.37,0.15,0.14,431,5,169,31.6%,10.5%,0,17,2021 Spring
Adept, SE,17,70.6%,3.4,0.5,3.1,10.0,1.4,245,68.6%,9.0,185,2.23,1.18,0.3,0.42,145,-6,293,58.8%,11.8%,0,-,2021 Spring
Adiss, CZ,38,60.5%,2.9,3.1,3.3,6.5,7.1,376,56.4%,22.1,449,0.84,0.38,0.12,0.13,-164,0,-92,13.2%,13.2%,0,10,2021 Spring
Advienne, NL,34,70.6%,3.6,0.7,3.0,10.1,1.1,239,64.1%,6.4,138,2.72,1.51,0.33,0.54,7,0,-76,29.4%,8.8%,0,-,2021 Spring
Aegis, BR,26,61.5%,5.7,2.8,1.8,7.6,7.0,365,69.1%,15.5,296,1.2,0.42,0.25,0.34,237,9,447,34.6%,0%,0,2,2021 Spring
