Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
007x, TH,6,0%,1.3,1.3,4.2,4.0,3.3,267,84.8%,19.9,261,-,0.83,0.28,0.12,-544,0,48,0%,0%,0,-,2015 Summer
Acorn, KR,4,25%,2.4,1.5,2.5,4.5,6.1,297,71.2%,15.5,253,-,0.57,0.14,0.05,-417,-12,-264,0%,0%,0,-,2015 Summer
Albis, TW,10,40%,2.4,0.8,3.1,6.7,0.8,211,58.4%,8.5,131,-,1.29,0.3,0.19,-206,0,230,20%,20%,0,-,2015 Summer
Aluka,,2,100%,8,1.5,1.5,10.5,6.9,-,81.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Summer
Amazing, DE,13,53.8%,2.8,1.5,2.5,5.5,3.0,279,63.5%,13.6,238,-,0.95,0.36,0.1,33,4,33,7.7%,7.7%,0,-,2015 Summer
AmazingJ, HK,6,66.7%,2.9,2.3,2.3,4.3,6.8,338,51.7%,17.3,294,-,0.6,0.02,0.03,-355,-15,-528,16.7%,33.3%,0,2,2015 Summer
Ambition, KR,3,0%,2.7,2.0,2.3,4.3,3.1,272,70.6%,18.1,293,-,0.73,0.32,0.12,-87,-9,158,33.3%,0%,0,-,2015 Summer
Anex, TW,10,40%,5.2,4.4,1.6,3.9,9.0,396,65.6%,27.5,456,-,0.17,0.28,0.05,102,9,77,20%,0%,0,2,2015 Summer
Aphromoo, US,6,33.3%,1.9,1.2,4.5,7.2,0.8,219,72.7%,9,139,-,1.06,0.26,0.18,-203,3,-12,0%,16.7%,0,-,2015 Summer
Aria, KR,1,100%,8,2.0,1.0,6.0,1.2,237,57.1%,6.5,145,-,1.11,0.31,0.14,-,-,-,-,-,-,-,2015 Summer
Arrow, KR,18,50%,4.3,3.8,1.9,4.6,8.4,375,70.6%,31.8,506,-,0.18,0.23,0.07,172,1,246,27.8%,0%,0,1,2015 Summer
Balls,,7,42.9%,1.6,2.9,4.1,3.9,6.0,326,58.8%,16.5,265,-,0.51,0.05,0.03,-569,-24,-949,0%,14.3%,1,2,2015 Summer
Bang, KR,19,94.7%,14.4,5.2,0.8,6.9,8.8,435,70.2%,28,568,-,0.21,0.21,0.05,321,2,135,15.8%,0%,0,3,2015 Summer
Bjergsen, DK,6,16.7%,3.5,3.7,2.7,5.7,8.7,371,90.9%,37.6,617,-,0.37,0.1,0.04,570,9,196,50%,0%,0,3,2015 Summer
Catch, KR,1,0%,0.3,2.0,6.0,0.0,2.8,234,50%,9.8,145,-,1.03,0.29,0.06,-,-,-,-,-,-,-,2015 Summer
ClearLove, CN,9,44.4%,4.2,1.9,2.3,8.0,3.2,309,78.3%,11.9,196,-,0.86,0.36,0.09,208,3,262,44.4%,0%,0,1,2015 Summer
CoCo,,3,0%,1.2,2.0,3.7,2.3,8.9,356,37.2%,25.4,431,-,0.54,0.12,0.07,131,8,216,0%,0%,0,-,2015 Summer
Condi,,2,0%,1.7,1.5,3.5,4.5,2.9,-,70.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Summer
Crown, KR,1,100%,-,5.0,0.0,5.0,8.6,388,71.4%,20.3,453,-,0.48,0.29,0.14,-,-,-,-,-,-,-,2015 Summer
CuVee, KR,1,100%,3.5,3.0,2.0,4.0,8.6,385,50%,26.5,593,-,0.57,0.06,0,-,-,-,-,-,-,-,2015 Summer
Darshan, CA,6,33.3%,1.6,2.3,4.2,4.2,6.1,304,57.5%,18.3,308,-,0.55,0.05,0.05,-491,-10,-448,0%,50%,0,-,2015 Summer
Deft, KR,9,44.4%,4.9,3.4,1.8,5.2,8.9,396,71%,35,563,-,0.28,0.19,0.12,301,3,-20,33.3%,0%,0,-,2015 Summer
Dioud, FR,6,33.3%,3.1,0.7,3.0,8.5,1.0,216,88%,7.1,113,-,1.28,0.41,0.22,-313,-1,-636,50%,0%,0,-,2015 Summer
Doublelift, US,6,33.3%,2.7,3.8,3.2,4.7,8.5,389,72.5%,31.3,564,-,0.16,0.24,0.08,293,7,-10,0%,33.3%,0,1,2015 Summer
Duke, KR,3,33.3%,3,2.7,2.7,5.3,7.9,355,70.9%,25.4,339,-,0.47,0.04,0.03,664,22,456,66.7%,0%,0,-,2015 Summer
Dyrus,,6,16.7%,1.8,2.0,3.0,3.5,5.9,290,52.2%,15.2,254,-,0.67,0.12,0.03,-218,-13,-340,50%,33.3%,0,-,2015 Summer
Easyhoon, KR,4,100%,11.3,3.8,1.0,7.5,9.4,435,65.1%,30.7,577,-,0.19,0.31,0.05,382,14,491,25%,0%,0,-,2015 Summer
Eve,,1,100%,-,1.0,0.0,7.0,4.3,339,57.1%,8.7,194,-,1.05,0.43,0.14,-,-,-,-,-,-,-,2015 Summer
Faker, KR,15,93.3%,7.2,5.0,1.5,6.1,8.7,409,62.7%,27.4,569,-,0.3,0.16,0.09,559,14,453,26.7%,13.3%,0,13,2015 Summer
Febiven, NL,12,58.3%,5.3,4.3,1.9,5.9,9.5,416,69.4%,30,563,-,0.2,0.17,0.08,501,15,616,33.3%,0%,0,3,2015 Summer
