Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Ace, KR,10,40%,2.1,2.9,3.4,4.3,8.0,-,67.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Acorn, KR,2,50%,4.5,4.0,3.0,9.5,7.8,-,66.5%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Aluka,,2,50%,3.8,2.5,2.5,7.0,5.7,-,53.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
AmazingJ, HK,34,26.5%,2.1,2.7,4.0,5.6,6.7,-,71.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Ambition, KR,1,100%,17,2.0,1.0,15.0,3.7,-,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Ares,,3,33.3%,6.2,2.3,1.7,8.0,3.4,-,86.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Arrow, KR,2,100%,20,6.0,0.5,4.0,8.3,-,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Assassin, CN,4,100%,9.9,8.0,1.8,9.3,7.8,-,73.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
BAKA,,4,100%,8.5,6.3,1.5,6.5,8.4,-,73%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Bang, KR,3,66.7%,3.3,5.3,3.3,5.7,8.1,-,69.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Beast,,4,100%,8.4,2.5,1.8,12.3,2.8,-,80.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Cain,,5,20%,2.2,0.4,4.0,8.2,1.1,-,56.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Candy, KR,2,50%,4.8,6.0,2.0,3.5,8.7,-,48.5%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Captain57, CN,4,0%,1.8,2.0,4.0,5.0,2.9,-,60.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Carry, CN,4,75%,4,4.3,2.5,5.8,6.4,-,55.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Chaser,,2,100%,9,1.5,2.0,16.5,2.9,-,87.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
Chei,,2,100%,3.9,2.5,3.5,11.0,0.4,-,66%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
ClearLove, CN,2,100%,7.8,3.0,2.0,12.5,3.8,-,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
CoCo,,1,100%,-,6.0,0.0,8.0,8.6,-,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,2015 Spring
