Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
957, CN,65,53.8%,3.8,2.3,2.6,7.4,7.4,-,68.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Summer
ADD, KR,41,43.9%,2.4,2.2,3.1,5.3,6.7,360,66.5%,21.6,443,-,0.56,0.16,0.14,-264,-10,-442,26.8%,12.2%,0,10,2016 Summer
Acorn, KR,39,23.1%,1.9,2.1,3.7,4.8,7.1,-,63.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Summer
Adrian, US,57,68.4%,5.0,0.5,2.1,10.0,0.8,278,72.5%,6.9,163,-,1.5,0.28,0.27,95,-4,-19,15.8%,12.3%,0,-,2016 Summer
Airwaks, CH,24,29.2%,1.9,2.0,4.0,5.5,3.8,317,73.2%,19.7,373,-,0.65,0.43,0.14,-488,-5,-579,41.7%,12.5%,0,1,2016 Summer
Albis, TW,20,70%,5.1,0.9,1.9,8.6,1.0,271,68%,7.5,160,-,1.54,0.49,0.37,208,1,-58,35%,5%,0,1,2016 Summer
Alphari, GB,9,55.6%,4.3,3.7,1.8,4.0,8.0,392,66.8%,20.9,424,-,0.56,0.08,0.11,22,3,129,55.6%,22.2%,0,2,2016 Summer
Altec, CA,3,100%,22.0,5.7,0.7,9.0,9.1,465,65.7%,31.5,855,-,0.34,0.32,0.11,12,-0,245,33.3%,0%,0,-,2016 Summer
Amazing, DE,41,36.6%,2.7,2.0,2.6,5.1,4.2,335,69.1%,16.3,328,-,0.76,0.5,0.15,-216,-6,-223,41.5%,9.8%,0,-,2016 Summer
AmazingJ, HK,63,57.1%,4.0,2.9,2.5,7.0,7.5,341,69.7%,20.5,384,-,0.53,0.1,0.05,-375,-1,-105,0%,1.6%,0,-,2016 Summer
Ambition, KR,71,63.4%,3.4,2.0,2.4,6.2,4.8,368,65.8%,16.1,349,-,0.78,0.51,0.17,79,2,229,36.6%,16.9%,0,8,2016 Summer
Anex, TW,20,70%,5.2,3.3,1.8,6.0,9.3,431,67%,26.7,591,-,0.48,0.32,0.1,204,2,137,25%,5%,0,-,2016 Summer
Apex, TW,8,37.5%,1.7,2.3,3.4,3.6,9.2,386,78.4%,28.7,558,-,0.62,0.2,0.19,189,14,237,12.5%,25%,0,3,2016 Summer
Aphromoo, US,64,51.6%,3.4,0.6,2.6,8.2,0.6,255,70.5%,6.6,135,-,1.09,0.31,0.22,-47,-4,18,28.1%,7.8%,0,-,2016 Summer
