Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Crisis,,27,37%,2.8,2.8,3.1,5.9,3.5,-,74.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Crown, KR,44,50%,3.5,2.6,2.0,4.3,9.2,408,70.7%,30.5,557,-,0.62,0.23,0.12,-21,2,69,20.5%,22.7%,1,11,2016 Spring
Crumbzz,,22,40.9%,2.3,1.7,3.0,5.4,3.8,331,72.5%,14.5,263,-,0.92,0.56,0.24,89,1,-16,40.9%,9.1%,0,1,2016 Spring
Crush, KR,47,19.1%,2.1,1.7,2.6,3.9,4.2,322,66.9%,15.6,275,-,0.66,0.47,0.13,-216,-1,-128,27.7%,14.9%,0,-,2016 Spring
CuVee, KR,44,50%,2.6,1.7,2.4,4.4,7.7,372,59.4%,19.4,357,-,0.57,0.15,0.12,-68,-2,-253,13.6%,9.1%,0,2,2016 Spring
DanDy, KR,47,51.1%,4.3,3.1,2.2,6.4,4.6,-,75.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Dardoch, US,28,53.6%,5.2,3.1,2.1,7.7,4.3,360,79.7%,19.3,392,-,0.66,0.43,0.12,273,2,106,42.9%,3.6%,0,2,2016 Spring
Dark,,5,0%,2.6,2.2,3.2,6.0,6.3,-,62.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Darshan, CA,49,61.2%,3.3,2.7,2.4,5.3,7.0,371,62.9%,19.6,387,-,0.5,0.13,0.08,268,2,-31,30.6%,14.3%,0,12,2016 Spring
Dee, TW,8,37.5%,2.6,1.8,1.9,3.1,8.0,364,72.9%,19.6,321,-,0.4,0.23,0.08,-539,-11,-439,0%,0%,0,1,2016 Spring
Deft, KR,42,69%,5.3,4.9,2.2,6.8,8.6,-,77.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Diamondprox, RU,4,75%,3.5,2.5,2.0,4.5,4.4,362,65%,18.2,366,-,0.85,0.51,0.13,332,6,282,100%,0%,0,-,2016 Spring
