Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
369, CN,45,66.7%,2.9,2.7,2.8,5.6,8.2,404,56.7%,24.2,465,0.95,0.38,0.18,0.14,1334,13,149,4.4%,0%,0,1,2019 Summer
3z, TW,58,56.9%,2.5,2.1,2.4,3.9,8.3,386,52.2%,22.6,380,1,0.48,0.17,0.18,-5,3,125,19%,10.3%,0,24,2019 Summer
4LaN, BR,11,27.3%,1.8,2.0,3.2,3.6,7.3,361,80.7%,21.6,345,1.62,0.7,0.3,0.34,-39,14,168,36.4%,18.2%,0,1,2019 Summer
957, CN,1,0%,1.3,1.0,3.0,3.0,8.0,333,66.7%,31.5,518,-,0.51,0.15,0.18,-,-,-,0%,0%,0,-,2019 Summer
ACD, EE,27,66.7%,2.9,2.7,3.0,6.0,6.9,365,53.6%,20.9,420,1.19,0.62,0.22,0.31,84,-3,2,14.8%,14.8%,0,10,2019 Summer
ADD, KR,47,57.4%,2.5,2.4,3.0,5.1,7.6,379,57.2%,24.2,460,-,0.52,0.22,0.2,-,-,-,0%,0%,0,-,2019 Summer
AHaHaCiK, RU,34,67.6%,3,3.0,3.4,7.2,4.7,335,57.9%,16.3,324,1.69,0.7,0.36,0.28,224,-2,-4,41.2%,5.9%,0,5,2019 Summer
Abbedagge, DE,32,53.1%,3.5,3.8,2.8,5.8,8.6,409,57.8%,27.4,507,1.05,0.47,0.21,0.2,-256,-7,-85,18.8%,6.3%,0,10,2019 Summer
Ablazeolive, CA,25,52%,4.9,4.2,2.1,6.0,8.8,430,75.3%,30.4,618,1.07,0.36,0.28,0.16,341,5,168,28%,0%,0,7,2019 Summer
Absolute, TR,1,0%,6,3.0,2.0,9.0,0.6,243,92.3%,10.5,190,2.19,0.93,0.49,0.3,-337,-28,-281,100%,0%,0,-,2019 Summer
Acce, AR,24,37.5%,2.6,2.3,2.4,3.9,7.9,370,49.8%,19.0,325,1,0.48,0.17,0.21,-201,5,219,8.3%,4.2%,0,5,2019 Summer
Acee, JP,30,60%,4.7,2.5,1.7,5.6,7.5,360,62.7%,21.5,385,1.11,0.5,0.26,0.22,-136,-7,-187,20%,6.7%,0,5,2019 Summer
Adept, SE,19,42.1%,1.7,1.9,3.4,3.8,8.0,368,51.8%,22.0,346,0.95,0.45,0.15,0.22,-125,-6,-298,10.5%,26.3%,0,2,2019 Summer
Adiss, CZ,24,33.3%,2.4,2.7,3.1,4.8,7.6,370,52.2%,22.5,390,0.83,0.38,0.1,0.13,-109,2,84,4.2%,25%,0,7,2019 Summer
Aesthetic, SE,24,54.2%,3.3,2.9,3.0,6.8,5.0,338,67.7%,12.7,257,1.43,0.59,0.26,0.37,-139,0,-57,29.2%,12.5%,0,2,2019 Summer
Afm, PT,23,82.6%,5.7,3.7,1.8,6.4,9.1,441,61.3%,22.6,470,1.22,0.39,0.29,0.16,845,21,349,21.7%,0%,0,3,2019 Summer
Agresivoo, PL,32,56.3%,2.6,2.8,3.0,4.8,8.3,399,56.3%,21.4,412,0.95,0.41,0.17,0.14,-5,2,-195,21.9%,9.4%,0,11,2019 Summer
Agurin, DE,2,0%,1.3,0.0,3.0,4.0,4.4,272,59.5%,14.3,225,2.04,1.01,0.35,0.41,240,20,910,50%,0%,0,-,2019 Summer
Aiming, KR,53,52.8%,4.7,3.7,1.7,4.5,9.7,447,70.1%,31.9,549,1.33,0.46,0.42,0.13,67,-1,58,20.8%,7.5%,0,7,2019 Summer
Aix, CN,23,34.8%,2.7,2.1,2.9,5.9,4.7,318,66.8%,13.7,256,-,0.71,0.43,0.35,-,-,-,-,-,0,-,2019 Summer
